subject,order,grid_ location,color,first_second
56,1,G18,3,2
56,2,H13,4,2
56,3,G2,10,2
56,4,G10,4,2
56,5,A4,25,2
56,6,F3,10,2
56,7,C2,25,2
56,8,D1,3,2
56,9,H9,5,2
56,10,E14,4,2
56,11,G12,4,2
56,12,G8,5,2
56,13,E6,25,2
56,14,D17,4,2
56,15,D7,5,2
56,16,H15,4,2
56,17,C18,25,2
56,18,C6,5,2
56,19,D5,25,2
56,20,F1,3,2
56,21,B11,25,2
56,22,H19,19,2
56,23,D15,4,2
56,24,C12,4,2
56,25,B9,5,2
56,26,B7,5,2
56,27,D9,4,2
56,28,F13,4,2
56,29,B17,25,2
56,30,H11,5,2
56,31,F11,4,2
56,32,B3,25,2
56,33,H5,1,2
56,34,H17,19,2
56,35,G16,4,2
56,36,C10,5,2
56,37,E18,3,2
56,38,E2,3,2
56,39,B19,25,2
56,40,E8,4,2
56,41,A12,25,2
56,42,F17,19,2
56,43,A18,2,2
56,44,C4,13,2
56,45,H7,1,2
56,46,E20,3,2
56,47,A16,2,2
56,48,E16,4,2
56,49,D11,5,2
56,50,C20,25,2
56,51,F15,4,2
56,52,A10,25,2
56,53,D19,3,2
56,54,B15,4,2
56,55,C3,13,2
56,56,C14,4,2
56,57,B1,25,2
56,58,H3,1,2
56,59,F9,4,2
56,60,D3,13,2
56,61,A20,2,2
56,62,F7,5,2
56,63,D13,4,2
56,64,G4,10,2
56,65,E4,11,2
56,66,C16,4,2
56,67,A14,25,2
56,68,E12,4,2
56,69,F19,3,2
56,70,C8,5,2
56,71,E10,4,2
56,72,G14,4,2
56,73,B5,12,2
56,74,G20,3,2
56,75,F5,10,2
56,76,A6,25,2
56,77,G6,25,2
56,78,B13,4,2
56,79,A8,25,2
56,80,H1,3,2
56,81,A2,2,2
60,1,F19,3,2
60,2,C3,13,2
60,3,C20,12,2
60,4,H3,10,2
60,5,A2,2,2
60,6,F11,5,2
60,7,B11,5,2
60,8,E14,5,2
60,9,E16,8,2
60,10,D9,5,2
60,11,B19,13,2
60,12,H17,8,2
60,13,B1,12,2
60,14,D13,5,2
60,15,A6,13,2
60,16,C4,13,2
60,17,C8,5,2
60,18,E8,5,2
60,19,G16,8,2
60,20,G12,5,2
60,21,E12,5,2
60,22,B17,12,2
60,23,E6,13,2
60,24,H19,8,2
60,25,H9,5,2
60,26,A16,2,2
60,27,H15,8,2
60,28,E20,3,2
60,29,G6,10,2
60,30,A14,2,2
60,31,A10,2,2
60,32,C18,8,2
60,33,G8,5,2
60,34,C14,5,2
60,35,A18,2,2
60,36,D1,3,2
60,37,H5,10,2
60,38,G10,5,2
60,39,F5,10,2
60,40,G14,5,2
60,41,C6,13,2
60,42,F3,10,2
60,43,F15,5,2
60,44,C10,5,2
60,45,B5,13,2
60,46,C2,3,2
60,47,F17,,2
60,48,A4,12,2
60,49,D19,3,2
60,50,D11,5,2
60,51,D5,10,2
60,52,E10,5,2
60,53,B9,5,2
60,54,A20,12,2
60,55,E2,3,2
60,56,E18,3,2
60,57,H13,5,2
60,58,D17,8,2
60,59,F13,5,2
60,60,G2,10,2
60,61,H1,10,2
60,62,B3,12,2
60,63,H7,1,2
60,64,C16,5,2
60,65,D3,13,2
60,66,G18,3,2
60,67,F9,5,2
60,68,H11,5,2
60,69,B13,12,2
60,70,E4,13,2
60,71,B15,12,2
60,72,A8,5,2
60,73,D7,5,2
60,74,F7,13,2
60,75,A12,12,2
60,76,G4,8,2
60,77,C12,5,2
60,78,B7,13,2
60,79,G20,3,2
60,80,D15,5,2
60,81,F1,3,2
61,1,F1,3,2
61,2,G2,10,2
61,3,F7,12,2
61,4,B9,12,2
61,5,D17,12,2
61,6,H15,5,2
61,7,C2,12,2
61,8,E10,5,2
61,9,D9,5,2
61,10,D13,12,2
61,11,H9,12,2
61,12,C14,12,2
61,13,C18,3,2
61,14,E6,10,2
61,15,A6,12,2
61,16,H17,8,2
61,17,G8,12,2
61,18,A2,2,2
61,19,E18,3,2
61,20,E2,13,2
61,21,F9,5,2
61,22,A12,2,2
61,23,B13,2,2
61,24,B15,2,2
61,25,H1,,2
61,26,B7,12,2
61,27,D15,5,2
61,28,F19,3,2
61,29,G16,,2
61,30,C4,13,2
61,31,B5,13,2
61,32,C6,12,2
61,33,D1,3,2
61,34,F11,12,2
61,35,E14,5,2
61,36,G14,5,2
61,37,C16,12,2
61,38,E16,12,2
61,39,F5,10,2
61,40,D11,5,2
61,41,H7,10,2
61,42,E4,12,2
61,43,H13,5,2
61,44,A20,2,2
61,45,D7,5,2
61,46,A8,2,2
61,47,H19,3,2
61,48,B11,12,2
61,49,H5,10,2
61,50,C10,5,2
61,51,B1,12,2
61,52,F15,5,2
61,53,E20,3,2
61,54,B3,12,2
61,55,G18,3,2
61,56,H3,10,2
61,57,C3,13,2
61,58,B17,2,2
61,59,G12,5,2
61,60,F17,3,2
61,61,G6,10,2
61,62,A10,2,2
61,63,A4,2,2
