subject,order,location,color
1,1,E20,11
1,2,E12,4
1,3,B10,5
1,4,F15,4
1,5,A9,5
1,6,F5,10
1,7,C9,5
1,8,A2,11
1,9,H12,4
1,10,F19,8
1,11,F12,4
1,12,B7,5
1,13,E18,8
1,14,C8,5
1,15,B20,11
1,16,G18,8
1,17,G9,5
1,18,B6,6
1,19,E6,6
1,20,A19,11
1,21,B18,11
1,22,C18,11
1,23,C5,6
1,24,E3,9
1,25,A4,11
1,26,F18,8
1,27,H8,1
1,28,C19,11
1,29,B1,11
1,30,C4,6
1,31,C2,11
1,32,D2,9
1,33,G5,10
1,34,G3,10
1,35,H13,4
1,36,E19,11
1,37,H5,1
1,38,G1,3
1,39,D20,11
1,40,F11,4
1,41,A17,2
1,42,H4,1
1,43,B15,4
1,44,F9,5
1,45,C7,5
1,46,B3,11
1,47,B17,8
1,48,F16,8
1,49,B9,5
1,50,F3,10
1,51,E11,4
1,52,H17,8
1,53,G11,4
1,54,G15,4
1,55,A14,2
1,56,F6,6
1,57,G12,4
1,58,A20,11
1,59,D7,5
1,60,A10,5
1,61,B11,4
1,62,C13,4
1,63,F8,5
1,64,D13,4
1,65,A3,11
1,66,G8,5
1,67,F1,3
1,68,B16,8
1,69,B8,5
1,70,A15,2
1,71,H11,4
1,72,H7,1
1,73,F13,4
1,74,G2,3
1,75,A6,6
1,76,C11,4
1,77,G10,5
1,78,D1,11
1,79,D4,6
1,80,H10,4
1,81,G17,8
1,82,C16,8
1,83,B4,6
1,84,H19,8
1,85,F10,4
1,86,A7,6
1,87,H6,1
1,88,A13,4
1,89,H2,3
1,90,E17,8
1,91,B12,4
1,92,H15,4
1,93,E14,4
1,94,B5,6
1,95,D11,4
1,96,F7,5
1,97,G6,10
1,98,H1,3
1,99,F4,10
1,100,D18,8
1,101,F2,9
1,102,H20,8
1,103,H16,4
1,104,D3,9
1,105,G4,10
1,106,D5,6
1,107,D5,9
1,108,H3,10
1,109,B14,4
1,110,E5,6
1,111,C12,4
1,112,G7,5
1,113,D12,4
1,114,B2,11
1,115,E10,4
1,116,A11,5
1,117,C17,8
1,118,E13,4
1,119,G19,8
1,120,D17,8
1,121,A8,5
1,122,D8,5
1,123,C15,4
1,124,D10,5
1,125,G16,8
1,126,C20,11
1,127,C3,9
1,128,C16,8
1,129,C14,4
1,130,C10,5
1,131,G14,4
1,132,E7,5
1,133,F17,8
1,134,D16,8
1,135,D19,11
1,136,E15,4
1,137,C1,11
1,138,C6,5
1,139,A16,2
1,140,B19,11
1,141,D15,4
1,142,D6,5
1,143,H9,5
1,144,G20,11
1,145,H14,4
1,146,A5,6
1,147,A1,11
1,148,A12,4
1,149,D9,5
1,150,E4,10
1,151,E8,5
1,152,H18,8
1,153,B13,4
1,154,D14,4
1,155,D9,5
1,156,E1,3
1,157,F20,11
1,158,A18,2
1,159,F14,4
1,160,G13,4
2,1,F14,4
2,2,F1,3
2,3,A18,2
2,4,C1,11
2,5,A7,5
2,6,F20,11
2,7,E1,11
2,8,A11,5
2,9,E9,5
2,10,D14,4
2,11,B13,4
2,12,H18,8
2,13,B2,9
2,14,D4,6
2,15,G10,5
2,16,E10,5
2,17,D12,4
2,18,G7,5
2,19,E5,6
2,20,B14,4
2,21,H3,10
2,22,D18,8
2,23,F4,10
2,24,D11,4
2,25,F10,5
2,26,G13,4
2,27,H14,4
2,28,G20,11
2,29,H9,5
2,30,D6,5
2,31,A12,4
2,32,D15,4
2,33,B19,11
2,34,A16,2
2,35,C6,5
2,36,C3,9
2,37,C20,11
2,38,H17,8
2,39,C17,8
2,40,E2,9
2,41,E17,8
2,42,G2,10
2,43,G8,5
2,44,A3,9
2,45,D13,4
2,46,F8,5
2,47,C13,4
2,48,B11,5
2,49,A10,5
2,50,D7,5
2,51,A20,11
2,52,G12,4
2,53,A14,4
2,54,G15,4
2,55,H20,8
2,56,B12,4
2,57,H14,8
2,58,E11,4
2,59,F3,10
2,60,F16,8
2,61,H8,1
2,62,B9,5
2,63,B17,8
2,64,B3,9
2,65,C7,5
2,66,F9,5
2,67,A17,2
2,68,D20,11
2,69,G1,3
2,70,H5,1
2,71,E19,11
2,72,H13,4
2,73,G3,10
2,74,C11,4
2,75,F6,5
2,76,G5,10
2,77,C2,9
2,78,D2,9
2,79,A4,9
2,80,C4,6
2,81,B1,11
2,82,C19,11
2,83,F18,8
2,84,E3,9
2,85,C5,6
2,86,C18,8
2,87,B18,8
2,88,A19,11
2,89,G9,5
2,90,G18,8
2,91,B20,11
2,92,C8,5
2,93,E18,8
2,94,B4,6
2,95,B7,5
2,96,F12,4
2,97,F19,11
2,98,H12,4
2,99,A2,11
2,100,C9,5
2,101,F5,10
2,102,A9,5
2,103,D19,11
2,104,F17,8
2,105,C10,5
2,106,C14,4
2,107,E16,8
2,108,D8,5
2,109,E8,5
2,110,E4,10
2,111,D9,5
2,112,A1,11
2,113,E7,5
2,114,G14,4
