subject,grid_location,color,Experiment
1,B7,5,1
1,E12,5,2
1,C4,6,3
1,B13,4,4
1,H3,10,5
1,A8,5,6
1,D15,4,7
1,C20,11,8
1,D7,5,9
1,G18,8,10
1,G4,10,11
1,B15,4,12
1,E14,4,13
1,D5,6,14
1,C14,4,15
1,G14,4,16
1,B19,11,17
1,H9,5,18
1,H15,4,19
1,A14,7,20
1,C3,9,21
1,E10,5,22
1,F5,7,23
1,B9,5,24
1,G10,5,25
1,F7,5,26
1,A18,2,27
1,E20,11,28
1,H1,8,29
1,H7,7,30
1,C6,5,31
1,A2,7,32
1,E18,8,33
1,G17,8,34
1,D11,5,35
1,F13,4,36
1,E8,5,37
1,G20,3,38
1,C8,5,39
1,D1,11,40
1,B17,2,41
1,B11,5,42
1,F15,4,43
1,F19,8,44
1,D13,4,45
1,A6,6,46
1,E6,5,47
1,B3,9,48
1,C2,9,49
1,H11,5,50
1,C18,8,51
1,D17,8,52
1,E4,6,53
1,A20,7,54
1,A16,2,55
1,G2,10,56
1,H17,8,57
1,D3,9,58
1,A10,5,59
1,B1,11,60
1,H5,1,61
1,F1,3,62
1,G6,5,63
1,D9,5,64
1,D19,11,65
1,G12,5,66
1,G16,8,67
1,E2,9,68
1,E16,8,69
1,F17,8,70
1,B5,6,71
1,C12,5,72
1,G8,5,73
1,C10,5,74
1,B2,9,75
1,F9,5,76
1,H19,8,77
1,F11,5,78
1,F3,10,79
1,C16,8,80
1,H13,3,81
1,A4,6,82
1,A12,5,83
2,E10,5,1
2,F5,6,2
2,B9,7,3
2,H9,5,4
2,A2,11,5
2,D11,5,6
2,G10,5,7
2,E20,11,8
2,F7,10,9
2,H1,3,10
2,C14,4,11
2,G14,4,12
2,C6,6,13
2,G17,8,14
2,B13,4,15
2,C4,9,16
2,B7,5,17
2,A8,4,18
2,B15,4,19
2,E14,4,20
2,D5,6,21
2,B19,11,22
2,H15,4,23
2,A14,11,24
2,C3,9,25
2,D15,4,26
2,C20,11,27
2,D7,5,28
2,G18,8,29
2,G4,10,30
2,E12,4,31
2,H3,10,32
2,A18,2,33
2,H17,1,34
2,E18,8,35
2,F13,4,36
2,E8,5,37
2,G20,8,38
2,C8,5,39
2,D1,11,40
2,B17,8,41
2,B11,4,42
2,C12,4,43
2,F9,5,44
2,C16,8,45
2,G8,5,46
2,H19,8,47
2,H13,4,48
2,C10,4,49
2,F11,5,50
2,A4,11,51
2,B2,11,52
2,F3,10,53
2,A12,4,54
2,D3,9,55
2,F1,11,56
2,G12,4,57
2,F17,8,58
2,H17,8,59
2,H5,10,60
2,D19,11,61
2,E16,8,62
2,G2,10,63
2,B1,11,64
2,D9,5,65
2,E2,9,66
2,E4,10,67
2,B3,11,68
2,C18,8,69
2,A20,2,70
2,D13,4,71
2,F15,4,72
2,A6,6,73
2,C2,11,74
2,D17,8,75
2,G16,4,76
2,B5,6,77
2,F19,8,78
2,E6,5,79
2,H11,5,80
2,A16,2,81
2,A10,4,82
2,G6,5,83
3,C20,11,1
3,G20,3,2
3,G4,7,3
3,E8,5,4
3,F13,4,5
3,D7,5,6
3,C6,6,7
3,C4,9,8
3,C3,9,9
3,C14,4,10
3,G17,8,11
3,D7,5,12
3,E14,4,13
3,A8,5,14
3,B19,11,15
3,A14,2,16
3,D15,4,17
3,D5,7,18
3,B15,4,19
3,G14,4,20
3,B13,4,21
3,H15,4,22
3,F15,4,23
3,D17,8,24
3,F19,3,25
3,A6,6,26
3,G16,8,27
3,E6,7,28
3,C2,9,29
3,B5,6,30
3,H11,5,31
3,G2,3,32
3,E2,9,33
3,C18,11,34
3,B1,9,35
3,E4,7,36
3,A2,2,37
3,D9,5,38
3,B3,9,39
3,D13,4,40
3,B17,2,41
3,F9,5,42
3,H19,8,43
3,F11,5,44
3,D1,11,45
3,C1,4,46
3,G8,5,47
3,C10,4,48
3,C8,5,49
3,B11,4,50
3,C16,8,51
3,H13,4,52
3,A4,2,53
3,H9,5,54
3,B9,4,55
3,G10,5,56
3,F7,5,57
3,E10,4,58
3,A2,2,59
3,E20,11,60
3,H1,3,61
3,F5,7,62
3,D11,4,63
3,A12,4,64
3,G12,4,65
3,H5,1,66
3,B2,11,67
3,D3,9,68
3,F17,8,69
3,D19,11,70
3,F3,7,71
3,F1,3,72
3,H17,8,73
3,E16,8,74
3,A16,2,75
3,A10,4,76
3,G6,5,77
3,H3,10,78
3,E18,8,79
3,E12,4,80
3,H7,5,81
3,G18,8,82
3,A18,2,83
4,C18,11,1
4,B1,11,2
4,H19,8,3
4,C12,12,4
4,C8,5,5
4,A20,11,6
4,E4,6,7
4,F9,5,8
4,B17,11,9
4,D1,11,10
4,C10,5,11
4,G2,3,12
4,D13,12,13
4,F11,5,14
4,G8,5,15
4,B3,9,16
4,D9,5,17
4,E2,3,18
4,C20,11,19
4,D7,5,20
4,E8,5,21
4,C6,5,22
4,H7,1,23
4,G20,8,24
4,C4,6,25
4,G18,8,26
4,E12,12,27
4,B19,11,28
4,D5,5,29
4,H3,10,30
4,A18,2,31
4,F19,8,32
4,E6,5,33
4,H11,5,34
4,A2,11,35
4,F5,5,36
4,G12,4,37
4,D3,9,38
4,E20,11,39
4,H1,8,40
4,A12,12,41
4,B2,11,42
4,D19,11,43
4,C17,8,44
4,A8,5,45
4,D15,12,46
4,B7,5,47
4,F13,4,48
4,C14,12,49
4,E14,12,50
4,A14,2,51
4,B15,4,52
4,E18,8,53
4,G4,7,54
4,C3,9,55
4,H15,4,56
4,F15,4,57
4,A6,6,58
4,C2,9,59
4,G14,4,60
4,D17,8,61
4,G16,8,62
4,D5,6,63
4,B13,12,64
4,D11,5,65
4,H5,1,66
4,F17,8,67
4,B11,5,68
4,A4,11,69
4,G10,5,70
4,E10,5,71
4,H17,8,72
4,A10,5,73
4,F1,3,74
4,A16,2,75
4,F3,10,76
4,E16,8,77
4,G6,5,78
4,C16,8,79
4,H9,5,80
4,F7,5,81
4,H13,4,82
4,B9,5,83
5,D11,12,1
5,B11,12,2
5,E10,5,3
5,H5,10,4
5,A4,11,5
5,H17,8,6
5,A2,11,7
5,F5,10,8
5,E20,11,9
5,B7,5,10
5,B9,12,11
5,F1,3,12
5,E16,8,13
5,H9,5,14
5,A16,2,15
5,F17,8,16
5,G2,10,17
5,G8,5,18
5,E2,8,19
5,E8,5,20
5,B15,12,21
5,G6,5,22
5,F7,5,23
5,F3,10,24
5,C16,8,25
5,H13,4,26
5,G17,8,27
5,E18,11,28
5,H15,4,29
5,C2,9,30
5,G16,8,31
5,G4,10,32
5,F15,12,33
5,G14,4,34
5,B5,6,35
5,C3,9,36
5,A6,6,37
5,D17,8,38
5,B13,12,39
5,A14,12,40
5,C6,5,41
5,C4,9,42
5,B19,11,43
5,A18,2,44
5,F13,12,45
5,H7,1,46
5,A8,5,47
5,G10,5,48
5,C18,11,49
5,C12,12,50
5,E4,10,51
5,B1,11,52
5,A10,12,53
5,C8,5,54
5,F9,5,55
5,H19,8,56
5,A20,8,57
5,B17,8,58
5,G18,8,59
5,D5,5,60
5,F19,11,61
5,G20,11,62
5,E12,12,63
5,H3,10,64
5,E6,5,65
5,G12,12,66
5,H1,3,67
5,D1,11,68
5,D15,12,69
5,D13,12,70
5,B3,11,71
5,C20,11,72
5,C10,12,73
5,F11,5,74
5,D9,5,75
5,C14,12,76
5,D7,5,77
5,B2,11,78
5,D19,11,79
5,D3,9,80
5,A12,12,81
5,H11,5,82
5,E14,12,83
6,A14,12,1
6,B19,8,2
6,H7,5,3
6,C18,8,4
6,B1,11,5
