subject,grid_location,color,Experiment
31,E10,5,1
31,B2,11,2
31,B19,11,3
31,E2,9,4
31,G16,13,5
31,B1,11,6
31,B13,12,7
31,D15,4,8
31,D3,9,9
31,F3,14,10
31,H5,1,11
31,A2,2,12
31,G18,13,13
31,G4,14,14
31,F1,15,15
31,D1,11,16
31,H11,5,17
31,C4,6,18
31,E12,5,19
31,D5,7,20
31,D17,8,21
31,A6,6,22
31,B9,5,23
31,B5,6,24
31,D7,5,25
31,A18,2,26
31,H17,13,27
31,C8,5,28
31,D11,5,29
31,C12,12,30
31,A16,2,31
31,C16,8,32
31,F11,5,33
31,B15,12,34
31,C2,9,35
31,F15,12,36
31,G2,3,37
31,E8,5,38
31,E18,13,39
31,A14,12,40
31,G12,5,41
31,B3,11,42
31,A4,11,43
31,C6,5,44
31,F5,14,45
31,G17,13,46
31,H13,5,47
31,F13,4,48
31,H9,5,49
31,C14,12,50
31,H3,14,51
31,F7,5,52
31,C3,9,53
31,E6,5,54
31,B7,5,55
31,F19,8,56
31,G14,4,57
31,B11,12,58
31,A12,12,59
31,C18,8,60
31,H7,1,61
31,C10,5,62
31,H15,4,63
31,B17,8,64
31,G6,7,65
31,G20,15,66
31,A10,5,67
31,E16,8,68
31,E20,3,69
31,C20,11,70
31,F17,13,71
31,D9,5,72
31,A8,5,73
31,F9,5,74
31,E4,14,75
31,D19,11,76
31,D13,12,77
31,G8,5,78
31,E14,4,79
31,A20,2,80
31,H1,3,81
31,G10,5,82
31,H19,13,83
32,H1,11,1
32,H19,8,2
32,F17,8,3
32,C14,4,4
32,C3,6,5
32,F19,11,6
32,A12,12,7
32,H3,10,8
32,E6,5,9
32,F5,5,10
32,F13,12,11
32,D9,5,12
32,E4,6,13
32,G8,5,14
32,G14,14,15
32,H7,5,16
32,A14,2,17
32,A4,6,18
32,G17,8,19
32,E8,5,20
32,G12,4,21
32,C6,6,22
32,H13,4,23
32,E18,11,24
32,B3,9,25
32,C18,11,26
32,F1,3,27
32,C4,6,28
32,D17,8,29
32,B5,6,30
32,H9,5,31
32,H11,5,32
32,D5,6,33
32,B9,12,34
32,F7,5,35
32,B7,5,36
32,C8,5,37
32,A16,2,38
32,B15,12,39
32,A18,2,40
32,D11,5,41
32,G18,8,42
32,D1,9,43
32,E12,5,44
32,A6,6,45
32,B2,9,46
32,G16,8,47
32,D15,4,48
32,H5,1,49
32,B19,11,50
32,B1,11,51
32,D3,6,52
32,A2,2,53
32,D7,5,54
32,G4,10,55
32,B11,12,56
32,C20,11,57
32,F9,5,58
32,D13,4,59
32,A20,2,60
32,A8,5,61
32,D19,11,62
32,E14,4,63
32,G10,5,64
32,E10,5,65
32,E2,9,66
32,B13,4,67
32,F3,10,68
32,F11,5,69
32,F15,4,70
32,C10,5,71
32,G6,5,72
32,E16,8,73
32,H15,4,74
32,G20,11,75
32,E20,11,76
32,B17,8,77
32,A10,4,78
32,G2,3,79
32,C16,8,80
32,C2,9,81
32,H17,8,82
32,C12,12,83
33,G2,10,1
33,H17,8,2
33,H15,4,3
33,B17,2,4
33,C16,12,5
33,C12,5,6
33,E12,12,7
33,H9,5,8
33,B9,5,9
33,C8,5,10
33,D5,6,11
33,B7,5,12
33,F15,4,13
33,D13,12,14
33,D19,11,15
33,E10,5,16
33,F3,10,17
33,C10,5,18
33,B15,12,19
33,G18,8,20
33,D7,5,21
33,H1,16,22
33,C14,12,23
33,A12,5,24
33,F5,5,25
33,E4,6,26
33,H19,8,27
33,G6,5,28
33,G20,11,29
33,A10,12,30
33,C2,11,31
33,E16,4,32
33,G16,4,33
33,B19,11,34
33,A2,2,35
33,B11,12,36
33,D15,4,37
33,B1,11,38
33,E20,3,39
33,A18,2,40
33,D1,11,41
33,H11,5,42
33,F7,5,43
33,A16,2,44
33,D11,12,45
33,G12,5,46
33,E18,8,47
33,F1,3,48
33,B5,6,49
33,C6,5,50
33,B3,9,51
33,C4,6,52
33,A14,12,53
33,E8,5,54
33,H13,5,55
33,C18,11,56
33,D17,8,57
33,A4,6,58
33,C3,9,59
33,H3,10,60
33,B2,11,61
33,H5,10,62
33,D3,9,63
33,G4,10,64
33,F13,12,65
33,G8,5,66
33,F17,8,67
33,F19,16,68
33,E6,5,69
33,D9,12,70
33,G14,4,71
33,H7,5,72
33,G17,8,73
33,C20,11,74
33,A20,2,75
33,E14,12,76
33,E2,9,77
33,F11,5,78
33,F9,5,79
33,A8,5,80
33,G10,5,81
33,B13,12,82
33,A6,6,83
34,F11,12,1
34,G10,5,2
34,E14,4,3
34,F9,5,4
34,B13,12,5
34,F19,8,6
34,G14,4,7
34,C20,8,8
34,G8,5,9
34,H11,5,10
34,D11,12,11
34,F15,4,12
34,E10,12,13
34,B15,12,14
34,H1,3,15
34,G12,12,16
34,B5,6,17
34,D1,11,18
34,A16,2,19
34,E18,11,20
34,C6,6,21
34,D13,12,22
34,F1,3,23
34,B3,11,24
34,B2,11,25
34,H15,4,26
34,B9,5,27
34,B7,5,28
34,G2,3,29
34,B17,8,30
34,E12,12,31
34,A18,2,32
34,G20,3,33
34,E16,8,34
34,A2,11,35
34,F3,10,36
34,C8,5,37
34,H17,8,38
34,C16,8,39
34,H9 ,5,40
34,D5,6,41
34,C12,12,42
34,F7,5,43
34,G4,10,44
34,F17,8,45
34,D9,12,46
34,A14,2,47
34,C18,11,48
34,C3,9,49
34,H5,2,50
34,E18,5,51
34,F5,17,52
34,G6,5,53
34,C2,11,54
34,G18,8,55
34,C14,12,56
34,D19,11,57
34,B1,11,58
34,H19,8,59
34,A10,12,60
34,G16,4,61
34,C10,5,62
34,D7,5,63
34,A6,6,64
34,D17,8,65
34,H3,10,66
34,D3,9,67
34,B11,12,68
34,E20,11,69
34,E6,5,70
34,H7,4,71
34,A20,11,72
34,B19,11,73
34,D15,12,74
34,E4,9,75
34,G17,8,76
34,F13,12,77
34,C4,9,78
34,H13,4,79
34,A4,18,80
34,E2,3,81
34,A8,5,82
34,A12,12,83
35,G6,5,1
35,C14,12,2
35,F17,8,3
35,C18,11,4
35,E8,5,5
35,C2,9,6
35,D19,11,7
35,F11,5,8
35,E16,8,9
35,C8,5,10
35,H9,5,11
35,G2,3,12
35,A18,2,13
35,A2,2,14
35,B15,12,15
35,E14,12,16
35,F19,8,17
35,G8,5,18
35,F15,4,19
35,H1,3,20
35,B1,11,21
35,G16,8,22
35,B2,9,23
35,B5,6,24
35,E18,8,25
35,F1,3,26
