Subject,Notes,Toss,Date,Location,Audiofile,Translator,Age,Education,Household,Sex,Spanish,focal_color_3,focal_color_4,focal_color_5,focal_color_6,focal_color_7,focal_color_8,focal_color_9,focal_color_10,focal_color_11,focal_color_12,focal_color_13,focal_color_15,focal_color_16,focal_color_17,focal_color_19,focal_color_20,focal_color_23,focal_color_25,fav_color,non_fav_color,cloud,dirt,grass / leaf,hair,teeth,rice,unripe bananas,ripe banana,sky,corn,yuca (inside),yuca (outside),blood,fire,carrot,tomato
1,,N,7/3/2014,0,1565,Dino,40,1,9,M,10,F1,F8,E8,,C1,H1,,H17,,B4,,,,,,,,,F1,A1,,,,,,,,,,,,,,,,
2,,N,7/3/2014,0,1566,Salomon,45,4,8,F,6,F1,E8,E8,C3,,,,H3,,C1,,,,,,,,,C6,H6,,,,,,,,,,,,,,,,
3,,N,7/3/2014,0,1567,Dino,44,2,8,M,9,F1,H9,E8,F2,B2,F16,,G4,C3,,,,,,,,,,F13,F10,,,,,,,,,,,,,,,,
4,,N,7/3/2014,0,1568,Salomon,27,3,7,F,9,F1,E14,F9,B5,,G17,C3,H3,B1,,C3,,,,,,,A3,F1,E14,,,,,,,,,,,,,,,,
5,,N,7/3/2014,0,1569,Dino,42,1,8,F,6,F1,G11,E8,C3,C16,G16,,H19,E2,C17,,,,,,,,,E1,A15,,,,,,,,,,,,,,,,
6,,N,7/3/2014,0,1570,Dino,28,0,6,F,9,F1,F10,F9,C5,C15,,B14,H3,,,,,,,,,,,E1,F16,,,,,,,,,,,,,,,,
8,,N,7/3/2014,0,1572,Salomon,26,6,5,F,10,F1,F15,D8,B5,A13,H16,,H3,,C7,C3,,,,,,,,F1,H4,,,,,,,,,,,,,,,,
9,,N,7/4/2014,1,"1573, 1574",Salomon,32,2,7,M,10,F1,H14,H11,D3,F15,H16,,H3,C2,C4,,,,A1,,,,,F1,H7,,,,,,,,,,,,,,,,
12,,N,7/4/2014,1,1577,Salomon,23,0,6,F,6,G20,F10,H10,,,H16,,,,E8,,,,,,,,,D8,D16,,,,,,,,,,,,,,,,
13,,N,7/4/2014,1,1578,Salomon,22,1,5,F,3,F20,G8,H9,,,,,E3,,E3,,,,,,,,,G2,G6,,,,,,,,,,,,,,,,
14,,N,7/4/2014,1,1579,Salomon,33,4,6,F,7,G20,G14,G9,,,H16,,,,B7,,,,,,,,,C6,H7,2,1,5,1,,12,5,,4,,2,,,,,
15,,N,7/4/2014,1,1580,Salomon,16,7,1,F,8,H1,G10,H10,H3,,H18,,,,,,,,,C19,,,,F19,A18,2,6,5,1,,19,5,,5,,2,6,,,,
16,,N,7/4/2014,1,1581,Salomon,18,4,4,F,10,F1,E8,E8,,,G16,E3,H3,,B6,,,,,,,,,D8,B13,2,10,5,1,,9,5,12,4,12,2,9,,,,
17,,N,7/4/2014,1,1582,Salomon,19,4,4,F,7,F1,E9,E8,,,,,F2,,B5,,,,,,,,,B5,H7,2,10,5,1,,12,5,12,12,12,2,10,,,,
18,,N,7/4/2014,1,1583,Salomon,20,6,4,M,9,F1,F13,G9,,,,,,,E2,,,,,,,,,D8,E15,2,3,5,1,,12,5,12,4,12,2,3,,,,
20,,N,7/7/2014,2,1584,Salomon,50,12,6,M,9,H1,E8,E8,B4,D15,H16,D2,H3,D3,E13,,,,,,,,,E2,C15,2,10,5,1,2,6,5,11,5,6,2,10,3,12,6,3
21,,N,7/7/2014,2,1587,Salomon,28,2,7,M,11,F1,F15,G9,E4,C15,E3,F3,H2,D2,B7,C3,,,,,,,,B6,H6,2,9,5,1,2,9,5,12,4,11,2,3,3,11,11,3
22,,N,7/7/2014,2,1589,Salomon,31,1,4,M,4,F1,F13,F13,C5,,H14,F1,H3,C4,D8,,,,,,,,,D9,H8,2,1,5,1,2,2,5,3,5,3,2,1,3,3,3,3
23,,Y,7/7/2014,2,1590,Salomon,38,0,4,F,6,G2,G10,H12,F7,,,,,,,,,,,,,,,G2,G14,4,4,4,1,2,2,4,4,4,2,1,,3,4,4,3
24,,N,7/7/2014,2,1591,Salomon,24,2,6,F,7,F2,G11,F14,E6,C17,G16,D7,,D8,F8,,,,,,,,,B7,G6,2,3,5,1,2,2,5,6,4,2,2,3,3,3,6,3
25,,N,7/7/2014,2,1592,Salomon,16,2,3,F,6,F1,F9,F8,F10,H7,G18,G2,H2,E4,D4,,,,,,,,,F6,H4,2,9,5,1,2,9,5,12,4,3,2,9,3,12,12,3
26,,N,7/7/2014,2,1593,Salomon,19,3,3,M,11,F1,E14,F9,H4,,G4,E3,G3,F3,C4,C3,,,,,,,,B4,H7,2,3,5,1,2,12,5,12,4,12,2,12,3,6,12,3
27,,N,7/8/2014,3,1595,Salomon,26,3,5,F,9,G1,F9,H9,B6,B17,H16,H2,G4,F20,C4,D2,F3,G16,,,,,,B5,D15,2,10,5,1,2,12,5,12,5,12,2,10,3,12,12,3
28,,N,7/8/2014,3,1594,Salomon,26,4,6,F,7,H1,D8,E8,B6,H3,H2,H20,G3,,B4,E5,,,,,,,,E8,C13,2,3,5,1,5,12,5,12,5,12,2,10,3,12,12,3
29,,N,7/8/2014,3,1596,Salomon,34,2,10,F,8,F1,F13,F9,B7,A12,H16,D2,F3,F2,D20,,F3,H16,E2,,,,,B5,H18,2,3,5,1,2,9,5,6,4,"2,9",2,9,3,3,3,3
30,,N,7/8/2014,3,1597,Salomon,23,1,5,F,9,E20,E8,F9,C4,B16,G17,F17,H20,D2,E14,E3,B1,,E2,,,,,F1,H11,2,15,5,1,2,9,5,6,5,3,2,3,3,3,6,3
31,,N,7/8/2014,3,1598,Salomon,25,2,5,F,5,F1,F7,F8,C4,D17,H16,D3,H18,D4,D1,,,D3,,D18,A2,,,C7,E4,2,3,4,1,2,3,5,16,4,3,2,3,3,3,16,3
32,,N,7/8/2014,3,1599,Salomon,20,5,4,F,8,F1,F15,E7,G16,,H18,F4,F6,,C19,,G3,,,D16,,,,F1,E13,2,15,5,1,2,9,5,6,4,2,2,15,3,3,6,3
33,,N,7/8/2014,3,1600,Salomon,40,0,7,F,6,F1,G9,F9,B6,A10,F16,D2,H2,,B19,,,B2,,C20,,,,B5,H8,2,1,4,1,2,9,4,"6,4",4,3,2,3,3,3,4,3
34,,N,7/8/2014,3,1602,Salomon,48,2,11,M,11,F1,E8,F10,B5,A1,H5,,H3,,,,,,,,,,,B4,H5,2,1,5,1,2,1,5,4,4,"3,6",2,9,3,3,6,3
35,,N,7/8/2014,3,1601,Salomon,46,0,9,F,6,F1,G12,H13,C5,A10,H16,,H7,C4,,,E6,,,,,,A13,E2,G4,2,3,4,1,2,"3,2",5,4,4,3,2,3,3,3,6,3
37,,N,7/8/2014,3,1603,Salomon,32,0,8,F,6,F1,G9,E9,C7,A13,F18,D1,G2,E2,B6,,,,,,,,,C7,C12,2,1,5,1,2,2,5,6,5,3,2,3,3,3,4,3
38,,N,7/8/2014,3,1604,Salomon,26,5,5,F,9,H1,G9,H9,G4,H5,,E3,H3,F3,C4,,,,,,,,,C3,A7,2,10,5,1,2,7,5,12,5,"2,12",2,1,3,12,12,3
41,,N,7/9/2014,4,1605,Salomon,39,5,8,M,10,F1,D8,F8,B4,A11,,E3,G3,B4,B5,,F3,,,,,,,forgot,forgot,2,3,4,1,2,3,4,12,4,2,2,11,3,3,4,3
42,,N,7/9/2014,4,1606,Salomon,27,4,5,M,10,F1,G15,H13,F4,B8,H1,D3,H2,,B4,,,,,,,,,F1,A11,2,1,4,1,2,12,4,12,4,12,2,1,3,3,12,3
43,,N,7/9/2014,4,1607,Salomon,39,2,5,M,10,G20,G9,H13,D3,G5,H13,F2,E2,D2,B4,D3,,,,,,,,B6,E19,2,9,4,1,2,"2,9",4,12,4,2,2,3,3,3,3,3
44,,N,7/9/2014,4,1608,Salomon,32,4,7,F,6,F1,E8,E8,C4,,H16,H2,H4,C5,C7,,,,,,,,,F8,F1,2,12,4,1,2,2,4,12,21,3,2,1,3,3,3,3
45,,N,7/9/2014,4,1610,Salomon,22,4,3,M,9,F1,F10,F11,,,H20,C2,F3,,C3,D3,B3,,,,,,,C13,A14,2,9,5,1,2,2,4,12,4,12,2,15,3,12,13,3
46,,N,7/9/2014,4,1612,Salomon,29,7,8,M,9,G1,D8,F9,E4,D16,G20,G3,G3,D2,C4,E2,,,,,,,,H2,H7,2,9,5,1,2,12,5,12,4,2,2,9,3,12,12,3
47,,Y,7/9/2014,4,181,Salomon,59,0,6,F,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
