subject,grid_location,color,Experiment
1501,A10,4,47
1501,A12,4,12
1501,A14,2,45
1501,A16,2,42
1501,A18,2,26
1501,A2,2,44
1501,A20,2,15
1501,A4,2,33
1501,A6,12,9
1501,A8,2,27
1501,B1,12,41
1501,B11,4,7
1501,B13,4,6
1501,B15,12,2
1501,B17,8,48
1501,B19,3,49
1501,B2,12,55
1501,B3,12,46
1501,B5,12,4
1501,B7,12,20
1501,B9,4,19
1501,C10,4,32
1501,C12,4,39
1501,C14,4,25
1501,C16,8,40
1501,C18,8,38
1501,C2,3,5
1501,C20,3,36
1501,C3,12,51
1501,C4,12,30
1501,C6,12,43
1501,C8,4,31
1501,D1,3,3
1501,D11,4,24
1501,D13,4,16
1501,D15,4,18
1501,D17,8,11
1501,D19,3,22
1501,D3,10,17
1501,D5,1,35
1501,D7,4,34
1501,D9,4,37
1501,E10,4,60
1501,E12,4,1
1501,E14,4,10
1501,E16,8,29
1501,E18,8,14
1501,E2,3,28
1501,E20,3,8
1501,E4,10,21
1501,E6,1,23
1501,E8,4,13
1501,F1,3,71
1501,F11,4,53
1501,F13,4,64
1501,F15,4,59
1501,F17,8,68
1501,F19,3,54
1501,F3,1,57
1501,F5,1,65
1501,F7,4,82
1501,F9,4,70
1501,G10,4,72
1501,G12,1,50
1501,G14,1,52
1501,G16,8,79
1501,G17,8,77
1501,G18,8,81
1501,G2,3,73
1501,G4,1,80
1501,G6,1,69
1501,G8,5,78
1501,H1,1,56
1501,H11,1,63
1501,H13,1,58
1501,H15,1,66
1501,H17,8,74
1501,H19,1,62
1501,H3,1,76
1501,H5,1,67
1501,H7,1,61
1501,H9,1,75
1502,A10,5,55
1502,A12,5,1
1502,A14,12,57
1502,A16,2,80
1502,A18,2,66
1502,A2,2,82
1502,A20,2,78
1502,A4,12,53
1502,A6,12,10
1502,A8,5,65
1502,B1,12,56
1502,B11,5,12
1502,B13,5,21
1502,B15,5,30
1502,B17,2,71
1502,B19,12,34
1502,B2,12,68
1502,B3,12,72
1502,B5,12,5
1502,B7,5,24
1502,B9,5,67
1502,C10,5,52
1502,C12,5,58
1502,C14,5,41
1502,C16,8,73
1502,C18,8,59
1502,C2,12,13
1502,C20,12,62
1502,C3,12,22
1502,C4,12,51
1502,C6,5,23
1502,C8,5,76
1502,D1,3,29
1502,D11,5,26
1502,D13,5,77
1502,D15,4,4
1502,D17,5,8
1502,D19,3,27
1502,D3,12,39
1502,D5,10,74
1502,D7,5,75
1502,D9,5,60
1502,E10,5,36
1502,E12,5,31
1502,E14,5,9
1502,E16,8,63
1502,E18,8,79
1502,E2,3,64
1502,E20,2,11
1502,E4,10,28
1502,E6,4,40
1502,E8,5,81
1502,F1,3,46
1502,F11,5,7
1502,F13,5,2
1502,F15,4,37
1502,F17,8,49
1502,F19,3,6
1502,F3,10,33
1502,F5,10,61
1502,F7,5,42
1502,F9,5,47
1502,G10,5,45
1502,G12,5,70
1502,G14,5,69
1502,G16,8,17
1502,G17,8,20
1502,G18,8,19
1502,G2,10,16
1502,G4,10,3
1502,G6,1,48
1502,G8,5,18
1502,H1,10,38
1502,H11,5,14
1502,H13,1,32
1502,H15,5,50
1502,H17,8,44
1502,H19,8,15
1502,H3,1,25
1502,H5,1,54
1502,H7,1,35
1502,H9,1,43
1503,A10,2,17
1503,A12,2,68
1503,A14,2,61
1503,A16,2,38
1503,A18,2,75
1503,A2,2,36
1503,A20,2,8
1503,A4,2,19
1503,A6,12,29
1503,A8,2,10
1503,B1,2,78
1503,B11,4,27
1503,B13,2,81
1503,B15,2,51
1503,B17,8,65
1503,B19,2,54
1503,B2,2,23
1503,B3,3,41
1503,B5,12,34
1503,B7,4,48
1503,B9,4,74
1503,C10,4,22
1503,C12,4,14
1503,C14,4,57
1503,C16,8,40
1503,C18,8,13
1503,C2,3,26
1503,C20,3,11
1503,C3,3,64
1503,C4,8,60
1503,C6,4,63
1503,C8,4,69
1503,D1,3,16
1503,D11,4,46
1503,D13,4,9
1503,D15,4,35
1503,D17,8,31
1503,D19,3,45
1503,D3,12,4
1503,D5,10,39
1503,D7,4,42
1503,D9,4,12
1503,E10,4,55
1503,E12,4,49
1503,E14,4,30
1503,E16,8,62
1503,E18,8,7
1503,E2,3,76
1503,E20,3,28
1503,E4,10,15
1503,E6,10,3
1503,E8,4,37
1503,F1,3,1
1503,F11,4,32
1503,F13,4,67
1503,F15,4,6
1503,F17,8,21
1503,F19,3,33
1503,F3,10,53
1503,F5,10,77
