subject,order,location,color
1,1,H16,4
1,2,F4,10
1,3,E5,10
1,4,A14,4
1,5,A2,11
1,6,C7,5
1,7,A17,2
1,8,A11,5
1,9,H13,5
1,10,A1,11
1,11,C4,TANGERINE
1,12,D1,11
1,13,A7,5
1,14,C15,4
1,15,A5,OKRA
1,16,A19,11
1,17,D13,4
1,18,D19,11
1,19,A13,5
1,20,C10,5
1,21,E1,11
1,22,E7,5
1,23,G13,4
1,24,G5,10
1,25,B19,11
1,26,F7,5
1,27,A3,PEACH
1,28,H2,UMBER
1,29,D8,5
1,30,A9,5
1,31,A15,4
1,32,G20,CRANBERRY
1,33,B6,6
1,34,B18,3
1,35,B2,PEACH
1,36,B14,4
1,37,B10,5
1,38,E14,4
1,39,G14,4
1,40,B8,5
1,41,C19,11
1,42,B9,5
1,43,C8,5
1,44,C17,8
1,45,G15,4
1,46,G1,3
1,47,G19,8
1,48,F8,5
1,49,G2,3
1,50,H5,5
1,51,G18,8
1,52,G6,5
1,53,G8,5
1,54,E17,LAVENDER
1,55,D16,LAVENDER
1,56,E9,5
1,57,H11,5
1,58,D12,5
1,59,G12,5
1,60,D20,11
1,61,D2,9
1,62,D10,5
1,63,D6,5
1,64,D18,8
1,65,F18,PLUM
1,66,D4,MUSTARD
1,67,E15,4
1,68,E3,9
1,69,E13,4
1,70,C12,5
1,71,D14,4
1,72,F6,5
1,73,C2,PEACH
1,74,D9,5
1,75,E6,5
1,76,D3,TANGERINE
1,77,C20,11
1,78,D17,8
1,79,E4,OKRA
1,80,E10,5
1,81,E20,11
1,82,D7,5
1,83,E16,8
1,84,E12,5
1,85,A6,5
1,86,H3,10
1,87,E11,5
1,88,F16,PERIWINKLE
1,89,F12,5
1,90,D5,OKRA
1,91,B13,4
1,92,E2,9
1,93,F3,10
1,94,G17,8
1,95,E18,11
1,96,F20,3
1,97,H9,5
1,98,G16,8
1,99,A8,5
1,100,E3,OKRA
1,101,A16,2
1,102,H15,4
1,103,F10,5
1,104,C5,OKRA
1,105,B15,4
1,106,F5,5
1,107,C6,6
1,108,F1,3
1,109,G10,5
1,110,F17,8
1,111,F11,5
1,112,C3,9
1,113,H7,5
1,114,F14,4
1,115,B4,9
1,116,A20,11
1,117,A18,11
1,118,F19,ROSE
1,119,C16,LAVENDER
1,120,B11,5
1,121,G3,10
1,122,H1,3
1,123,C1,11
1,124,A4,PEACH
1,125,A10,5
1,126,G9,5
1,127,A12,5
1,128,H4,5
1,129,C9,5
1,130,F15,4
1,131,H12,5
1,132,B3,PEACH
1,133,H18,8
1,134,E8,5
1,135,H14,4
1,136,H20,3
1,137,H8,5
1,138,H17,8
1,139,B5,6
1,140,C11,5
1,141,H6,10
1,142,F2,3
1,143,G11,5
1,144,G7,5
1,145,B1,11
1,146,B16,LAVENDER
1,147,H10,5
1,148,C14,4
1,149,B12,5
1,150,B20,11
1,151,B7,5
1,152,C18,11
1,153,F13,4
1,154,F9,5
1,155,B17,8
1,156,G4,10
1,157,H19,8
1,158,C13,4
1,159,D15,4
1,160,D11,5
1,161,E19,ROSE
2,1,D7,5
2,2,D14,4
2,3,C14,4
2,4,H10,5
2,5,C7,5
2,6,E19,11
2,7,D17,8
2,8,D4,6
2,9,C17,8
2,10,B7,5
2,11,A10,5
2,12,F13,4
2,13,C18,11
2,14,D3,9
2,15,C13,4
2,16,C2,9
2,17,H6,1
2,18,B12,5
2,19,H5,1
2,20,F16,8
2,21,D15,4
2,22,G5,10
2,23,A16,2
2,24,B1,11
2,25,B20,11
2,26,E1,3
2,27,E7,5
2,28,H9,5
2,29,C11,4
2,30,F9,5
2,31,D6,5
2,32,G15,4
2,33,D9,5
2,34,G7,5
