subject,order,location,color,Language,Task
1,10,A1,11,English,Open
1,147,A1,11,English,Fixed
1,125,A10,5,English,Open
1,60,A10,5,English,Fixed
1,8,A11,5,English,Open
1,116,A11,5,English,Fixed
1,127,A12,5,English,Open
1,148,A12,4,English,Fixed
1,19,A13,5,English,Open
1,88,A13,4,English,Fixed
1,4,A14,4,English,Open
1,55,A14,2,English,Fixed
1,31,A15,4,English,Open
1,70,A15,2,English,Fixed
1,101,A16,2,English,Open
1,139,A16,2,English,Fixed
1,7,A17,2,English,Open
1,41,A17,2,English,Fixed
1,117,A18,11,English,Open
1,158,A18,2,English,Fixed
1,16,A19,11,English,Open
1,20,A19,11,English,Fixed
1,5,A2,11,English,Open
1,8,A2,11,English,Fixed
1,116,A20,11,English,Open
1,58,A20,11,English,Fixed
1,27,A3,PEACH,English,Open
1,65,A3,11,English,Fixed
1,124,A4,PEACH,English,Open
1,25,A4,11,English,Fixed
1,15,A5,OKRA,English,Open
1,146,A5,6,English,Fixed
1,85,A6,5,English,Open
1,75,A6,6,English,Fixed
1,13,A7,5,English,Open
1,86,A7,6,English,Fixed
1,99,A8,5,English,Open
1,121,A8,5,English,Fixed
1,30,A9,5,English,Open
1,5,A9,5,English,Fixed
1,145,B1,11,English,Open
1,29,B1,11,English,Fixed
1,37,B10,5,English,Open
1,3,B10,5,English,Fixed
1,120,B11,5,English,Open
1,61,B11,4,English,Fixed
1,149,B12,5,English,Open
1,91,B12,4,English,Fixed
1,91,B13,4,English,Open
1,153,B13,4,English,Fixed
1,36,B14,4,English,Open
1,109,B14,4,English,Fixed
1,105,B15,4,English,Open
1,43,B15,4,English,Fixed
1,146,B16,LAVENDER,English,Open
1,68,B16,8,English,Fixed
1,155,B17,8,English,Open
1,47,B17,8,English,Fixed
1,34,B18,3,English,Open
1,21,B18,11,English,Fixed
1,25,B19,11,English,Open
1,140,B19,11,English,Fixed
1,35,B2,PEACH,English,Open
1,114,B2,11,English,Fixed
1,150,B20,11,English,Open
1,15,B20,11,English,Fixed
1,132,B3,PEACH,English,Open
1,46,B3,11,English,Fixed
1,115,B4,9,English,Open
1,83,B4,6,English,Fixed
1,139,B5,6,English,Open
1,94,B5,6,English,Fixed
1,33,B6,6,English,Open
1,18,B6,6,English,Fixed
1,151,B7,5,English,Open
1,12,B7,5,English,Fixed
1,40,B8,5,English,Open
1,69,B8,5,English,Fixed
1,42,B9,5,English,Open
1,49,B9,5,English,Fixed
1,123,C1,11,English,Open
1,137,C1,11,English,Fixed
1,20,C10,5,English,Open
1,130,C10,5,English,Fixed
1,140,C11,5,English,Open
1,76,C11,4,English,Fixed
1,70,C12,5,English,Open
1,111,C12,4,English,Fixed
1,158,C13,4,English,Open
1,62,C13,4,English,Fixed
1,148,C14,4,English,Open
1,129,C14,4,English,Fixed
1,14,C15,4,English,Open
1,123,C15,4,English,Fixed
1,119,C16,LAVENDER,English,Open
1,82,C16,8,English,Fixed
1,128,C16,8,English,Fixed
1,44,C17,8,English,Open
1,117,C17,8,English,Fixed
1,152,C18,11,English,Open
1,22,C18,11,English,Fixed
1,41,C19,11,English,Open
1,28,C19,11,English,Fixed
1,73,C2,PEACH,English,Open
1,31,C2,11,English,Fixed
1,77,C20,11,English,Open
1,126,C20,11,English,Fixed
1,112,C3,9,English,Open
1,127,C3,9,English,Fixed
1,11,C4,TANGERINE,English,Open
1,30,C4,6,English,Fixed
1,104,C5,OKRA,English,Open
1,23,C5,6,English,Fixed
1,107,C6,6,English,Open
1,138,C6,5,English,Fixed
1,6,C7,5,English,Open
1,45,C7,5,English,Fixed
1,43,C8,5,English,Open
1,14,C8,5,English,Fixed
1,129,C9,5,English,Open
1,7,C9,5,English,Fixed
1,12,D1,11,English,Open
1,78,D1,11,English,Fixed
1,62,D10,5,English,Open
1,124,D10,5,English,Fixed
1,160,D11,5,English,Open
1,95,D11,4,English,Fixed
1,58,D12,5,English,Open
1,113,D12,4,English,Fixed
1,17,D13,4,English,Open
1,64,D13,4,English,Fixed
1,71,D14,4,English,Open
1,154,D14,4,English,Fixed
1,159,D15,4,English,Open
1,141,D15,4,English,Fixed
1,55,D16,LAVENDER,English,Open
1,134,D16,8,English,Fixed
1,78,D17,8,English,Open
1,120,D17,8,English,Fixed
1,64,D18,8,English,Open
1,100,D18,8,English,Fixed
1,18,D19,11,English,Open
1,135,D19,11,English,Fixed
1,61,D2,9,English,Open
1,32,D2,9,English,Fixed
1,60,D20,11,English,Open
1,39,D20,11,English,Fixed
1,76,D3,TANGERINE,English,Open
1,104,D3,9,English,Fixed
1,66,D4,MUSTARD,English,Open
1,79,D4,6,English,Fixed
1,90,D5,OKRA,English,Open
1,106,D5,6,English,Fixed
1,107,D5,9,English,Fixed
1,63,D6,5,English,Open
1,142,D6,5,English,Fixed
1,82,D7,5,English,Open
1,59,D7,5,English,Fixed
1,29,D8,5,English,Open
1,122,D8,5,English,Fixed
1,74,D9,5,English,Open
1,149,D9,5,English,Fixed
1,155,D9,5,English,Fixed
1,21,E1,11,English,Open
1,156,E1,3,English,Fixed
1,80,E10,5,English,Open
1,115,E10,4,English,Fixed
1,87,E11,5,English,Open
1,51,E11,4,English,Fixed
1,84,E12,5,English,Open
1,2,E12,4,English,Fixed
1,69,E13,4,English,Open
1,118,E13,4,English,Fixed
1,38,E14,4,English,Open
1,93,E14,4,English,Fixed
1,67,E15,4,English,Open
1,136,E15,4,English,Fixed
1,83,E16,8,English,Open
1,54,E17,LAVENDER,English,Open
1,90,E17,8,English,Fixed
1,95,E18,11,English,Open
1,13,E18,8,English,Fixed
1,161,E19,ROSE,English,Open
1,36,E19,11,English,Fixed
1,92,E2,9,English,Open
1,81,E20,11,English,Open
1,1,E20,11,English,Fixed
1,68,E3,9,English,Open
1,100,E3,OKRA,English,Open
1,24,E3,9,English,Fixed
1,79,E4,OKRA,English,Open
1,150,E4,10,English,Fixed
1,3,E5,10,English,Open
1,110,E5,6,English,Fixed
1,75,E6,5,English,Open
1,19,E6,6,English,Fixed
1,22,E7,5,English,Open
1,132,E7,5,English,Fixed
1,134,E8,5,English,Open
1,151,E8,5,English,Fixed
1,56,E9,5,English,Open
1,108,F1,3,English,Open
1,67,F1,3,English,Fixed
1,103,F10,5,English,Open
1,85,F10,4,English,Fixed
1,111,F11,5,English,Open
1,40,F11,4,English,Fixed
1,89,F12,5,English,Open
1,11,F12,4,English,Fixed
1,153,F13,4,English,Open
1,73,F13,4,English,Fixed
1,114,F14,4,English,Open
1,159,F14,4,English,Fixed
1,130,F15,4,English,Open
1,4,F15,4,English,Fixed
1,88,F16,PERIWINKLE,English,Open
1,48,F16,8,English,Fixed
1,110,F17,8,English,Open
1,133,F17,8,English,Fixed
1,65,F18,PLUM,English,Open
1,26,F18,8,English,Fixed
1,118,F19,ROSE,English,Open
1,10,F19,8,English,Fixed
1,142,F2,3,English,Open
1,101,F2,9,English,Fixed
1,96,F20,3,English,Open
1,157,F20,11,English,Fixed
1,93,F3,10,English,Open
1,50,F3,10,English,Fixed
1,2,F4,10,English,Open
1,99,F4,10,English,Fixed
1,106,F5,5,English,Open
1,6,F5,10,English,Fixed
1,72,F6,5,English,Open
1,56,F6,6,English,Fixed
1,26,F7,5,English,Open
1,96,F7,5,English,Fixed
1,48,F8,5,English,Open
1,63,F8,5,English,Fixed
1,154,F9,5,English,Open
1,44,F9,5,English,Fixed
1,46,G1,3,English,Open
1,38,G1,3,English,Fixed
1,109,G10,5,English,Open
1,77,G10,5,English,Fixed
1,143,G11,5,English,Open
1,53,G11,4,English,Fixed
1,59,G12,5,English,Open
1,57,G12,4,English,Fixed
1,23,G13,4,English,Open
1,160,G13,4,English,Fixed
1,39,G14,4,English,Open
1,131,G14,4,English,Fixed
1,45,G15,4,English,Open
1,54,G15,4,English,Fixed
1,98,G16,8,English,Open
1,125,G16,8,English,Fixed
1,94,G17,8,English,Open
1,81,G17,8,English,Fixed
1,51,G18,8,English,Open
1,16,G18,8,English,Fixed
1,47,G19,8,English,Open
1,119,G19,8,English,Fixed
1,49,G2,3,English,Open
1,74,G2,3,English,Fixed
1,32,G20,CRANBERRY,English,Open
1,144,G20,11,English,Fixed
1,121,G3,10,English,Open
1,34,G3,10,English,Fixed
1,156,G4,10,English,Open
1,105,G4,10,English,Fixed
1,24,G5,10,English,Open
1,33,G5,10,English,Fixed
1,52,G6,5,English,Open
1,97,G6,10,English,Fixed
1,144,G7,5,English,Open
1,112,G7,5,English,Fixed
1,53,G8,5,English,Open
1,66,G8,5,English,Fixed
1,126,G9,5,English,Open
1,17,G9,5,English,Fixed
1,122,H1,3,English,Open
1,98,H1,3,English,Fixed
1,147,H10,5,English,Open
1,80,H10,4,English,Fixed
1,57,H11,5,English,Open
1,71,H11,4,English,Fixed
1,131,H12,5,English,Open
1,9,H12,4,English,Fixed
1,9,H13,5,English,Open
1,35,H13,4,English,Fixed
1,135,H14,4,English,Open
1,145,H14,4,English,Fixed
1,102,H15,4,English,Open
1,92,H15,4,English,Fixed
1,1,H16,4,English,Open
1,103,H16,4,English,Fixed
1,138,H17,8,English,Open
1,52,H17,8,English,Fixed
1,133,H18,8,English,Open
1,152,H18,8,English,Fixed
1,157,H19,8,English,Open
1,84,H19,8,English,Fixed
1,28,H2,UMBER,English,Open
1,89,H2,3,English,Fixed
1,136,H20,3,English,Open
1,102,H20,8,English,Fixed
1,86,H3,10,English,Open
1,108,H3,10,English,Fixed
1,128,H4,5,English,Open
1,42,H4,1,English,Fixed
1,50,H5,5,English,Open
1,37,H5,1,English,Fixed
1,141,H6,10,English,Open
1,87,H6,1,English,Fixed
1,113,H7,5,English,Open
1,72,H7,1,English,Fixed
1,137,H8,5,English,Open
1,27,H8,1,English,Fixed
1,97,H9,5,English,Open
1,143,H9,5,English,Fixed
2,123,A1,1,English,Open
2,112,A1,11,English,Fixed
2,11,A10,5,English,Open
2,49,A10,5,English,Fixed
2,129,A11,5,English,Open
2,8,A11,5,English,Fixed
2,153,A12,5,English,Open
2,31,A12,4,English,Fixed
2,156,A13,5,English,Open
2,148,A13,4,English,Fixed
2,126,A14,5,English,Open
2,53,A14,4,English,Fixed
2,93,A15,2,English,Open
2,136,A15,2,English,Fixed
2,23,A16,2,English,Open
2,34,A16,2,English,Fixed
2,131,A17,2,English,Open
2,67,A17,2,English,Fixed
2,100,A18,2,English,Open
2,3,A18,2,English,Fixed
2,121,A19,2,English,Open
2,88,A19,11,English,Fixed
2,124,A2,1,English,Open
2,99,A2,11,English,Fixed
2,65,A20,11,English,Open
2,51,A20,11,English,Fixed
2,110,A3,11,English,Open
2,44,A3,9,English,Fixed
2,158,A4,BEIGE,English,Open
2,79,A4,9,English,Fixed
2,47,A5,6,English,Open
2,119,A5,6,English,Fixed
2,68,A6,6,English,Open
2,157,A6,6,English,Fixed
2,160,A7,5,English,Open
2,5,A7,5,English,Fixed
2,84,A8,5,English,Open
2,121,A8,5,English,Fixed
2,42,A9,5,English,Open
2,102,A9,5,English,Fixed
2,24,B1,11,English,Open
2,81,B1,11,English,Fixed
2,78,B10,5,English,Open
2,116,B10,5,English,Fixed
2,154,B11,5,English,Open
2,48,B11,5,English,Fixed
2,18,B12,5,English,Open
2,56,B12,4,English,Fixed
2,69,B13,4,English,Open
2,11,B13,4,English,Fixed
2,88,B14,4,English,Open
2,20,B14,4,English,Fixed
2,39,B15,4,English,Open
2,152,B15,4,English,Fixed
2,56,B16,8,English,Open
2,142,B16,7,English,Fixed
2,52,B17,8,English,Open
2,63,B17,8,English,Fixed
2,90,B18,8,English,Open
2,87,B18,8,English,Fixed
2,41,B19,11,English,Open
2,33,B19,11,English,Fixed
2,89,B2,11,English,Open
2,13,B2,9,English,Fixed
2,25,B20,11,English,Open
2,91,B20,11,English,Fixed
2,95,B3,PEACH,English,Open
2,64,B3,9,English,Fixed
2,101,B4,6,English,Open
2,94,B4,6,English,Fixed
2,148,B5,6,English,Open
2,134,B5,6,English,Fixed
2,91,B6,5,English,Open
2,137,B6,6,English,Fixed
2,10,B7,5,English,Open
2,95,B7,5,English,Fixed
2,49,B8,5,English,Open
2,160,B8,5,English,Fixed
2,87,B9,5,English,Open
2,62,B9,5,English,Fixed
2,151,C1,11,English,Open
2,4,C1,11,English,Fixed
2,122,C10,5,English,Open
2,105,C10,5,English,Fixed
2,29,C11,4,English,Open
2,74,C11,4,English,Fixed
2,103,C12,5,English,Open
2,156,C12,4,English,Fixed
2,15,C13,4,English,Open
2,47,C13,4,English,Fixed
2,3,C14,4,English,Open
2,106,C14,4,English,Fixed
2,155,C15,4,English,Open
2,123,C15,4,English,Fixed
2,125,C16,8,English,Open
2,141,C16,8,English,Fixed
2,9,C17,8,English,Open
2,39,C17,8,English,Fixed
2,13,C18,11,English,Open
2,86,C18,8,English,Fixed
2,48,C19,11,English,Open
2,82,C19,11,English,Fixed
2,16,C2,9,English,Open
2,77,C2,9,English,Fixed
2,74,C20,11,English,Open
2,37,C20,11,English,Fixed
2,147,C3,9,English,Open
2,36,C3,9,English,Fixed
2,127,C4,6,English,Open
2,80,C4,6,English,Fixed
2,61,C5,6,English,Open
2,85,C5,6,English,Fixed
2,137,C6,5,English,Open
2,35,C6,5,English,Fixed
2,5,C7,5,English,Open
2,65,C7,5,English,Fixed
2,80,C8,5,English,Open
2,92,C8,5,English,Fixed
2,98,C9,5,English,Open
2,100,C9,5,English,Fixed
2,104,D1,11,English,Open
2,147,D1,11,English,Fixed
2,54,D10,5,English,Open
2,125,D10,5,English,Fixed
2,40,D11,5,English,Open
2,24,D11,4,English,Fixed
2,119,D12,4,English,Open
2,17,D12,4,English,Fixed
2,57,D13,4,English,Open
2,45,D13,4,English,Fixed
2,2,D14,4,English,Open
2,10,D14,4,English,Fixed
2,21,D15,4,English,Open
2,32,D15,4,English,Fixed
2,139,D16,8,English,Open
2,130,D16,8,English,Fixed
2,7,D17,8,English,Open
2,126,D17,8,English,Fixed
2,108,D18,8,English,Open
2,22,D18,8,English,Fixed
2,120,D19,8,English,Open
2,103,D19,11,English,Fixed
2,114,D2,9,English,Open
2,78,D2,9,English,Fixed
2,115,D20,11,English,Open
2,68,D20,11,English,Fixed
2,14,D3,9,English,Open
2,158,D3,9,English,Fixed
2,8,D4,6,English,Open
2,14,D4,6,English,Fixed
2,37,D5,5,English,Open
2,129,D5,6,English,Fixed
2,31,D6,5,English,Open
2,30,D6,5,English,Fixed
2,1,D7,5,English,Open
2,50,D7,5,English,Fixed
2,109,D8,5,English,Open
2,108,D8,5,English,Fixed
2,33,D9,5,English,Open
2,111,D9,5,English,Fixed
2,26,E1,3,English,Open
2,7,E1,11,English,Fixed
2,82,E10,5,English,Open
2,16,E10,5,English,Fixed
2,67,E11,5,English,Open
2,58,E11,4,English,Fixed
2,66,E12,5,English,Open
2,117,E12,4,English,Fixed
2,105,E13,4,English,Open
2,127,E13,4,English,Fixed
2,76,E14,4,English,Open
2,140,E14,4,English,Fixed
2,106,E15,4,English,Open
2,120,E15,4,English,Fixed
2,86,E16,8,English,Open
2,107,E16,8,English,Fixed
2,143,E17,8,English,Open
2,41,E17,8,English,Fixed
2,53,E18,8,English,Open
2,93,E18,8,English,Fixed
2,6,E19,11,English,Open
2,71,E19,11,English,Fixed
2,64,E2,9,English,Open
2,40,E2,9,English,Fixed
2,73,E20,11,English,Open
2,118,E20,11,English,Fixed
2,118,E3,9,English,Open
2,84,E3,9,English,Fixed
2,58,E4,GOLD,English,Open
2,110,E4,10,English,Fixed
2,159,E5,5,English,Open
2,19,E5,6,English,Fixed
2,85,E6,5,English,Open
2,151,E6,5,English,Fixed
2,27,E7,5,English,Open
2,113,E7,5,English,Fixed
2,136,E8,5,English,Open
2,109,E8,5,English,Fixed
2,140,E9,4,English,Open
2,9,E9,5,English,Fixed
2,36,F1,3,English,Open
2,2,F1,3,English,Fixed
2,50,F10,5,English,Open
2,25,F10,5,English,Fixed
2,38,F11,5,English,Open
2,153,F11,5,English,Fixed
2,43,F12,5,English,Open
2,96,F12,4,English,Fixed
2,12,F13,4,English,Open
2,155,F13,4,English,Fixed
2,60,F14,4,English,Open
2,1,F14,4,English,Fixed
2,97,F15,4,English,Open
2,115,F15,4,English,Fixed
2,20,F16,8,English,Open
2,60,F16,8,English,Fixed
2,113,F17,8,English,Open
2,104,F17,8,English,Fixed
2,107,F18,8,English,Open
2,83,F18,8,English,Fixed
2,77,F19,8,English,Open
2,97,F19,11,English,Fixed
2,45,F2,3,English,Open
2,132,F2,3,English,Fixed
2,63,F20,11,English,Open
2,6,F20,11,English,Fixed
2,141,F3,10,English,Open
2,59,F3,10,English,Fixed
2,157,F4,10,English,Open
2,23,F4,10,English,Fixed
2,138,F5,5,English,Open
2,101,F5,10,English,Fixed
2,102,F6,5,English,Open
2,75,F6,5,English,Fixed
2,146,F7,5,English,Open
2,138,F7,5,English,Fixed
2,117,F8,5,English,Open
2,46,F8,5,English,Fixed
2,30,F9,5,English,Open
2,66,F9,5,English,Fixed
2,81,G1,3,English,Open
2,69,G1,3,English,Fixed
2,130,G10,5,English,Open
2,15,G10,5,English,Fixed
2,44,G11,5,English,Open
2,128,G11,5,English,Fixed
2,116,G12,5,English,Open
2,52,G12,4,English,Fixed
2,112,G13,5,English,Open
2,26,G13,4,English,Fixed
2,79,G14,4,English,Open
2,114,G14,4,English,Fixed
2,32,G15,4,English,Open
2,54,G15,4,English,Fixed
2,83,G16,8,English,Open
2,124,G16,8,English,Fixed
2,35,G17,8,English,Open
2,146,G17,8,English,Fixed
2,149,G18,8,English,Open
2,90,G18,8,English,Fixed
2,71,G19,8,English,Open
2,122,G19,8,English,Fixed
2,70,G2,3,English,Open
2,42,G2,10,English,Fixed
2,92,G20,8,English,Open
2,28,G20,11,English,Fixed
2,144,G3,10,English,Open
2,73,G3,10,English,Fixed
2,51,G4,10,English,Open
2,135,G4,10,English,Fixed
2,22,G5,10,English,Open
2,76,G5,10,English,Fixed
2,75,G6,5,English,Open
2,131,G6,5,English,Fixed
2,34,G7,5,English,Open
2,18,G7,5,English,Fixed
2,72,G8,5,English,Open
2,43,G8,5,English,Fixed
2,152,G9,5,English,Open
2,89,G9,5,English,Fixed
2,150,H1,3,English,Open
2,133,H1,3,English,Fixed
2,4,H10,5,English,Open
2,149,H10,5,English,Fixed
2,145,H11,5,English,Open
2,159,H11,5,English,Fixed
2,96,H12,5,English,Open
2,98,H12,4,English,Fixed
2,128,H13,5,English,Open
2,72,H13,4,English,Fixed
2,135,H14,4,English,Open
2,27,H14,4,English,Fixed
2,57,H14,8,English,Fixed
2,62,H15,4,English,Open
2,139,H15,4,English,Fixed
2,142,H16,8,English,Open
2,145,H16,8,English,Fixed
2,132,H17,8,English,Open
2,38,H17,8,English,Fixed
2,94,H18,8,English,Open
2,12,H18,8,English,Fixed
2,46,H19,8,English,Open
2,111,H2,8,English,Open
2,150,H2,10,English,Fixed
2,134,H20,8,English,Open
2,55,H20,8,English,Fixed
2,59,H3,10,English,Open
2,21,H3,10,English,Fixed
2,99,H4,10,English,Open
2,19,H5,1,English,Open
2,70,H5,1,English,Fixed
2,17,H6,1,English,Open
2,143,H6,1,English,Fixed
2,55,H7,1,English,Open
2,154,H7,1,English,Fixed
2,133,H8,5,English,Open
2,61,H8,1,English,Fixed
2,144,H8,5,English,Fixed
2,28,H9,5,English,Open
2,29,H9,5,English,Fixed
3,154,A1,11,English,Open
3,21,A1,11,English,Fixed
3,53,A10,5,English,Open
3,64,A10,5,English,Fixed
3,97,A11,5,English,Open
3,128,A11,5,English,Fixed
3,105,A12,4,English,Open
3,156,A12,4,English,Fixed
3,94,A13,5,English,Open
3,3,A13,4,English,Fixed
3,134,A14,4,English,Open
3,60,A14,4,English,Fixed
3,9,A15,2,English,Open
3,109,A15,2,English,Fixed
3,54,A16,2,English,Open
3,146,A16,2,English,Fixed
3,100,A17,2,English,Open
3,88,A17,2,English,Fixed
3,137,A18,2,English,Open
3,49,A18,2,English,Fixed
3,158,A19,11,English,Open
3,140,A19,11,English,Fixed
3,135,A2,11,English,Open
3,141,A2,11,English,Fixed
3,103,A20,11,English,Open
3,62,A20,11,English,Fixed
3,1,A3,BEIGE,English,Open
3,65,A3,11,English,Fixed
3,46,A4,BEIGE,English,Open
3,39,A4,6,English,Fixed
3,58,A5,6,English,Open
3,15,A5,6,English,Fixed
3,30,A6,6,English,Open
3,12,A6,6,English,Fixed
3,106,A7,5,English,Open
3,34,A7,6,English,Fixed
3,10,A8,5,English,Open
3,124,A8,5,English,Fixed
3,111,A9,5,English,Open
3,31,A9,5,English,Fixed
3,2,B1,11,English,Open
3,41,B1,11,English,Fixed
3,20,B10,5,English,Open
3,17,B10,5,English,Fixed
3,69,B11,5,English,Open
3,54,B11,5,English,Fixed
3,25,B12,5,English,Open
3,57,B12,4,English,Fixed
3,110,B13,4,English,Open
3,139,B13,4,English,Fixed
3,118,B14,4,English,Open
3,153,B14,4,English,Fixed
3,65,B15,4,English,Open
3,7,B15,4,English,Fixed
3,22,B16,8,English,Open
3,103,B16,8,English,Fixed
3,7,B17,8,English,Open
3,92,B17,8,English,Fixed
3,18,B18,11,English,Open
3,46,B18,11,English,Fixed
3,26,B19,11,English,Open
3,147,B19,11,English,Fixed
3,159,B2,1,English,Open
3,137,B2,11,English,Fixed
3,114,B20,11,English,Open
3,77,B20,11,English,Fixed
3,74,B3,9,English,Open
3,91,B3,9,English,Fixed
3,85,B4,9,English,Open
3,74,B4,6,English,Fixed
3,48,B5,6,English,Open
3,111,B5,6,English,Fixed
3,102,B6,5,English,Open
3,108,B6,6,English,Fixed
3,41,B7,5,English,Open
3,73,B7,5,English,Fixed
3,140,B8,5,English,Open
3,99,B8,5,English,Fixed
3,160,B9,5,English,Open
3,93,B9,5,English,Fixed
3,93,C1,11,English,Open
3,48,C1,11,English,Fixed
3,153,C10,5,English,Open
3,28,C10,5,English,Fixed
3,56,C11,5,English,Open
3,81,C11,5,English,Fixed
3,142,C12,5,English,Open
3,11,C12,4,English,Fixed
3,39,C13,5,English,Open
3,53,C13,4,English,Fixed
3,151,C14,4,English,Open
3,27,C14,4,English,Fixed
3,146,C15,4,English,Open
3,122,C15,4,English,Fixed
3,136,C16,8,English,Open
3,104,C16,8,English,Fixed
3,148,C16,4,English,Fixed
3,45,C17,8,English,Open
3,70,C17,8,English,Fixed
