Date,Location,Name,Subject #,Translator,Age,Education,# in house,Sex,Spanish,Spanish list #,Computer file,Visit San Borja / Yucomo?,Counting,Arithmetic ,Arithmetic List #,Comments,Exp. 1,Exp. 2,Exp. 3
6/28/15,4,43,1,Salomon,28,2,10,f,8,1,,,,,,Messed up on size trial (B in middle),SNARC,Recursion Pilot,
6/28/15,4,44,2,Salomon,18,7,6,f,8,2,,,,,,,SNARC,Recursion Pilot,
6/28/15,4,45,3,Salomon,26,2,7,f,10,1,,,,,,,SNARC,Recursion Pilot,
6/28/15,4,46,4,Salomon,60,0,3,f,10,2,,,,,,Age was approximate,SNARC,Recursion Pilot,
6/28/15,4,47,5,Salomon,23,1,2,f,8,1,,,,,,,SNARC,Recursion Pilot,
6/28/15,4,48,6,Salomon,23,3,4,m,8,2,,,,,,,SNARC,Recursion Pilot,
6/28/15,4,49,7,Salomon,33,12,9,m,10,1,,,,,,,SNARC,Recursion Pilot,
6/28/15,4,50,8,Salomon,16,7,2,f,5,2,,,,,,,SNARC,Recursion Pilot,
6/28/15,4,0,1501,Dino,25,6,7,f,10,1,104,,,,,object labels: not entered,obj label,color labels,focal colors
6/28/15,4,1,1502,Dino,22,6,4,f,10,2,105,,,,,object labels: not entered,obj label,color labels,focal colors
6/28/15,4,2,1503,Dino,31,2,8,f,7,1,106,,,,,object labels: not entered,obj label,color labels,focal colors
6/28/15,4,3,1504,Dino,24,3,5,f,8,2,107,,,,,object labels: not entered,obj label,color labels,focal colors
6/28/15,4,51,1505,Dino,29,3,6,f,8,2,108,,,,,object labels: not entered,obj label,color labels,focal colors
6/28/15,4,52,1506,Dino,21,2,6,f,10,2,none,,,,,object labels: not entered,obj label,color labels,focal colors
6/28/15,4,6,1507,Dino,31,3,7,m,11,1,none,,,,,object labels: not entered,obj label,color labels,focal colors
6/28/15,4,7,1508,Dino,30,7,6,m,11,2,109,,,,,object labels: not entered,obj label,color labels,focal colors
6/28/15,4,8,1509,Dino,17,8,7,f,4,1,none,,,,,object labels: not entered,obj label,color labels,focal colors
6/28/15,4,9,1510,Dino,41,2,8,f,7,2,none,,,,,object labels: not entered,obj label,color labels,focal colors
6/29/15,5,53,9,Salomon,65,2,6,f,10,1,,,7,2,1,,NVA,SNARC,
6/29/15,11,54,12,Salomon,43,0,2,f,10,2,,,9,0,2,,NVA,SNARC,
6/30/15,5,55,10,Salomon,42,4,3,f,11,2,,,102,2,2,,NVA,SNARC,
6/30/15,5,56,11,Salomon,22,3,3,f,8,1,,,102,2,1,,NVA,SNARC,
6/30/15,5,57,13,Salomon,40,5,7,f,10,1,,,102,3,1,,NVA,SNARC,
6/30/15,5,58,14,Salomon,37,2,8,f,6,2,,,3,2,2,,NVA,SNARC,
6/30/15,5,59,16,Salomon,31,4,7,f,8,1,,,102,4,1,,NVA,SNARC,
6/30/15,5,60,17,Salomon,32,2,5,f,,,,,,,,,NVA,SNARC,
6/30/15,5,61,18,Salomon,28,3,7,f,8,2,,,102,2,2,,NVA,SNARC,
6/30/15,5,62,19,Salomon,38,3,8,f,10,1,,,102,9,1,,NVA,SNARC,
6/30/15,5,63,20,Salomon,45,1,5,m,8,2,,,102,3,2,,NVA,SNARC,
6/30/15,5,64,21,Salomon,17,2,2,f,8,1,,,9,1,2,,NVA,SNARC,
6/30/15,5,65,22,Salomon,33,0,6,f,4,2,,,2,1,2,,NVA,SNARC,
6/30/15,5,66,1511,Dino,61,12,6,m,11,1,none,,,,,,color labels,focal colors,
6/30/15,5,67,1512,Dino,,,,,,,,,,,,,color labels,focal colors,
6/30/15,5,67,1513,Dino,,,,,,,,,,,,,color labels,focal colors,
6/30/15,5,67,1514,Dino,,,,,,,,,,,,,color labels,focal colors,
6/30/15,5,67,1515,Dino,,,,,,,,,,,,,color labels,focal colors,
6/30/15,5,67,1516,Dino,,,,,,,,,,,,,color labels,focal colors,
6/30/15,5,67,1517,Dino,,,,,,,,,,,,,color labels,focal colors,
6/30/15,5,67,1518,Dino,,,,,,,,,,,,,color labels,focal colors,
6/30/15,5,67,1519,Dino,,,,,,,,,,,,,color labels,focal colors,
6/30/15,5,67,1520,Dino,,,,,,,,,,,,,color labels,focal colors,
6/30/15,5,67,1521,Dino,,,,,,,,,,,,,color labels,focal colors,
6/30/15,5,67,1522,Dino,,,,,,,,,,,,,color labels,focal colors,
6/30/15,5,67,1523,Dino,,,,,,,,,,,,,color labels,focal colors,
7/2/15,0,68,23,Salomon,33,0,6,f,6,1,,,102,2,1,,NVA,SNARC,
7/2/15,0,43,24,Dino,40,3,8,f,8,2,,,18,2,2,,NVA,SNARC,
7/2/15,0,69,25,Dino,46,12,5,m,11,1,,,102,12,1,,NVA,SNARC,
7/2/15,0,70,26,Dino,31,12,5,m,11,2,,,102,11,2,,NVA,SNARC,
7/2/15,0,71,27,Dino,21,1,5,f,8,1,,,102,2,1,,NVA,SNARC,
7/2/15,0,72,29,Salomon,44,2,5,m,9,2,,,102,2,2,,NVA,SNARC,
7/2/15,0,73,30,Salomon,48,2,5,f,9,1,,,102,6,1,,NVA,SNARC,
7/2/15,0,74,31,Salomon,20,2,3,m,9,2,,,102,3,2,,MVA,SNARC,
7/2/15,0,75,32,Salomon,45,1,8,m,9,1,,,31,1,1,,NVA,SNARC,
7/2/15,0,76,33,Salomon,55,0,6,f,9,1,,,102,6,1,,NVA,SNARC,
7/2/15,0,77,34,Salomon,40,1,8,f,6,2,,,2,0,2,,NVA,SNARC,
7/2/15,0,78,35,Salomon,33,2,8,f,6,1,,,25,2,1,,NVA,SNARC,
7/2/15,0,79,36,Salomon,68,0,2,f,5,2,,,0,2,2,,NVA,SNARC,
7/2/15,0,80,37,Salomon,20,11,3,f,10,1,,,102,7,1,,NVA,SNARC,
7/2/15,0,81,38,Salomon,26,1,8,f,4,2,,,102,3,2,No Video,NVA,SNARC,
7/2/15,12,82,40,Salomon,20,0,4,f,6,1,,,,,,,SNARC,,
7/2/15,12,83,39A,Salomon,24,0,4,m,,,,,,,,,SNARC,,
7/3/15,12,84,41,Dino,25,3,6,f,6,2,,,102,1,2,faded quickly (after 20 or so trials) - MULLER,NVA,MULLER,
7/3/15,12,85,42,Dino,60,0,5,f,4,1,,,0,0,1,Dropped from NVA ,NVA,MULLER,
7/3/15,12,86,43,Dino,25,0,6,f,8,2,,,9,0,2,,NVA,MULLER,
7/3/15,12,87,44,Dino,20,1,3,f,6,1,,,12,0,1,figured out when she was correct around 6a? - MULLER,NVA,MULLER,
7/3/15,12,88,45,Dino,28,2,8,f,5,1,,,,,,,Recursion Pilot,MULLER,
7/3/15,12,68,46,Dino,55,0,6,f,7,2,,,,,,,MULLER,,
7/3/15,12,73,47,Dino,40,0,8,f,6,1,,,,,,,MULLER,,
7/3/15,12,89,48,Dino,29,0,5,f,7,1,,,,,,,MULLER,,
7/3/15,12,90,49,Dino,55,0,5,m,5,2,,,,,,,MULLER,,
7/3/15,12,91,50,Dino,54,1,4,m,8,1,,,,,,,MULLER,,
7/3/15,12,92,39B,Dino,64,0,8,f,0,1,,,0,0,1,very old bottom line bias - MULLER,NVA,MULLER,
7/3/15,12,73,40B,Dino,82,0,2,f,4,2,,,,,,"after 70, got r's wrong (stopped trying) - MULLER",,MULLER,
7/5/15,2,67,52,Salomon,,,3,m,,,,,,,,,MULLER,,
7/5/15,2,93,53,Salomon,39,0,,m,5,2,,,,,,,MULLER,,
7/5/15,2,94,57,Salomon,36,1,8,f,,,,,,,,,MULLER,,
7/5/15,2,95,58,Salomon,17,8,2,f,2,1,,,,,,"""New Task"" - SNARC; might have figured it out - MULLER",SNARC,MULLER,
7/5/15,2,96,59,Salomon,17,3,4,f,3,2,,,,,,,SNARC,MULLER,
7/5/15,2,97,60,Salomon,51,12,5,m,0,1,,,,,,,MULLER,,
7/5/15,2,98,61,Salomon,52,0,,f,7,2,,,,,,,SNARC,,
7/6/15,13,99,62,Salomon,24,11,4,m,11,1,,,,,,,SNARC,MULLER,
7/6/15,13,100,63,Salomon,27,3,4,f,10,2,,,,,,,SNARC,MULLER,
7/6/15,13,101,64,Salomon,57,0,3,f,6,1,,,,,,,SNARC,MULLER,
7/6/15,13,102,65,Salomon,78,0,8,m,7,2,,,,,,,SNARC,MULLER,
7/6/15,13,43,66,Salomon,33,3,8,f,6,1,,,,,,error on size blocks,SNARC,RECURSION,MULLER
7/6/15,13,103,67,Salomon,29,3,2,f,7,2,,,,,,,SNARC,MULLER,
7/6/15,13,104,68,Salomon,51,0,8,f,6,1,,,,,,,SNARC,MULLER,
7/6/15,13,105,69,Salomon,38,6,5,m,10,1,,,,,,,SNARC,RECURSION,
