Language,color,Our.code,hex.emp
English,4,F14,#2f6be8
English,10,H3,#7b4f33
English,5,E8,#379d36
English,7,C13,#9feffa
English,9,D3,#fe6627
English,11,D20,#fab0a5
English,8,G17,#524399
English,3,F1,#d91526
English,6,B5,#f5e307
Spanish,4,F15,#2a54c4
Spanish,10,H3,#7b4f33
Spanish,5,E8,#379d36
Spanish,7,B13,#9feffa
Spanish,9,D3,#fe6627
Spanish,11,D20,#fab0a5
Spanish,8,H16,#524399
Spanish,3,F1,#d91526
Spanish,6,B5,#f5e307
Spanish,12,E14,#2483af
Tsimane,4,F15,#2f6be8
Tsimane,10,H3,#7b4f33
Tsimane,5,E8,#379d36
Tsimane,7,B13,#9feffa
Tsimane,9,D3,#fe6627
Tsimane,11,D20,#fab0a5
Tsimane,8,H16,#524399
Tsimane,3,F1,#d91526
Tsimane,6,B5,#f0d50a
