subject,Language,thing,color,
1,English,cloud,2,
1,English,dirt,10,
1,English,grass / leaf,5,
1,English,hair,10,
1,English,teeth,2,
1,English,rice,2,
1,English,unripe bananas,5,
1,English,ripe banana,6,
1,English,sky,4,
1,English,corn,6,
1,English,yuca (inside),,
1,English,yuca (outside),,
1,English,blood,3,
1,English,fire,9,
1,English,carrot,9,
1,English,tomato,3,
1,English,focal red,F1,
1,English,focal blue,G15,
1,English,focal green,E8,
1,English,focal yellow,B5,
1,English,focal grey,H7,
1,English,focal purple / violet,H17,
1,English,focal orange,E2,
1,English,focal brown,H3,
1,English,focal pink,E20,
2,English,cloud,1,
2,English,dirt,10,
2,English,grass / leaf,5,
2,English,hair,10,
2,English,teeth,2,
2,English,rice,2,
2,English,unripe bananas,5,
2,English,ripe banana,6,
2,English,sky,4,
2,English,corn,6,
2,English,yuca (inside),6,
2,English,yuca (outside),,
2,English,blood,3,
2,English,fire,3,
2,English,carrot,9,
2,English,tomato,3,
2,English,focal red,F1,
2,English,focal blue,F14,
2,English,focal green,E8,
2,English,focal yellow,B5,
2,English,focal grey,H6,
2,English,focal purple / violet,H16,
2,English,focal orange,E2,
2,English,focal brown,H4,
2,English,focal pink,F20,
3,English,cloud,2,
3,English,dirt,10,
3,English,grass / leaf,5,
3,English,hair,1,
3,English,teeth,2,
3,English,rice,2,
3,English,unripe bananas,6,
3,English,ripe banana,6,
3,English,sky,4,
3,English,corn,6,
3,English,yuca (inside),?,
3,English,yuca (outside),?,
3,English,blood,3,
3,English,fire,9,
3,English,carrot,9,
3,English,tomato,3,
3,English,focal red,F1,
3,English,focal blue,H14,
3,English,focal green,E9,
3,English,focal yellow,B5,
3,English,focal grey,A13,
3,English,focal purple / violet,F17,
3,English,focal orange,D2,
3,English,focal brown,H3,
3,English,focal pink,C19,
4,English,cloud,2,
4,English,dirt,10,
4,English,grass / leaf,5,
4,English,hair,10,
4,English,teeth,2,
4,English,rice,2,
4,English,unripe bananas,5,
4,English,ripe banana,6,
4,English,sky,4,
4,English,corn,6,
4,English,yuca (inside),?,
4,English,yuca (outside),?,
4,English,blood,3,
4,English,fire,9,
4,English,carrot,9,
4,English,tomato,3,
4,English,focal red,F1,
4,English,focal blue,G15,
4,English,focal green,G9,
4,English,focal yellow,B6,
4,English,focal grey,A13,
4,English,focal purple / violet,H17,
4,English,focal orange,E2,
4,English,focal brown,H3,
4,English,focal pink,D20,
5,English,cloud,7,
5,English,dirt,10,
5,English,grass / leaf,5,
5,English,hair,10,
5,English,teeth,2,
5,English,rice,2,
5,English,unripe bananas,5,
5,English,ripe banana,6,
5,English,sky,4,
5,English,corn,6,
5,English,yuca (inside),?,
5,English,yuca (outside),?,
5,English,blood,3,
5,English,fire,6,
5,English,carrot,9,
5,English,tomato,3,
5,English,focal red,F1,
5,English,focal blue,F15,
5,English,focal green,E8,
5,English,focal yellow,C6,
5,English,focal grey,A13,
5,English,focal purple / violet,G18,
5,English,focal orange,D3,
5,English,focal brown,G3,
5,English,focal pink,D20,
6,English,cloud,2,
6,English,dirt,10,
6,English,grass / leaf,5,
6,English,hair,10,
6,English,teeth,2,
6,English,rice,2,
6,English,unripe bananas,5,
6,English,ripe banana,6,
6,English,sky,4,
6,English,corn,6,
6,English,yuca (inside),?,
6,English,yuca (outside),?,
6,English,blood,3,
6,English,fire,3,
6,English,carrot,9,
6,English,tomato,3,
6,English,focal red,F1,
6,English,focal blue,G14,
6,English,focal green,E8,
6,English,focal yellow,B5,
6,English,focal grey,H7,
6,English,focal purple / violet,G17,
6,English,focal orange,E2,
6,English,focal brown,G3,
6,English,focal pink,E20,
7,English,cloud,2,
7,English,dirt,10,
7,English,grass / leaf,5,
7,English,hair,10,
7,English,teeth,2,
7,English,rice,2,
7,English,unripe bananas,5,
7,English,ripe banana,6,
7,English,sky,4,
7,English,corn,6,
7,English,yuca (inside),,
7,English,yuca (outside),,
7,English,blood,3,
7,English,fire,6,
7,English,carrot,9,
7,English,tomato,3,
7,English,focal red,F1,
7,English,focal blue,G14,
7,English,focal green,H9,
7,English,focal yellow,B5,
7,English,focal grey,B12,
7,English,focal purple / violet,G18,
7,English,focal orange,C3,
7,English,focal brown,H4,
7,English,focal pink,C20,
8,English,cloud,2,
8,English,dirt,10,
8,English,grass / leaf,5,
8,English,hair,10,
8,English,teeth,2,
8,English,rice,2,
8,English,unripe bananas,5,
8,English,ripe banana,6,
8,English,sky,4,
8,English,corn,6,
8,English,yuca (inside),?,
8,English,yuca (outside),?,
8,English,blood,3,
8,English,fire,9,
8,English,carrot,9,
8,English,tomato,3,
8,English,focal red,F1,
8,English,focal blue,F14,
8,English,focal green,E8,
8,English,focal yellow,B5,
8,English,focal grey,A17,
8,English,focal purple / violet,F16,
8,English,focal orange,E2,
8,English,focal brown,H3,
8,English,focal pink,E20,
9,English,cloud,2,
9,English,dirt,7,
9,English,grass / leaf,5,
9,English,hair,10,
9,English,teeth,2,
9,English,rice,2,
9,English,unripe bananas,5,
9,English,ripe banana,6,
9,English,sky,4,
9,English,corn,6,
9,English,yuca (inside),?,
9,English,yuca (outside),?,
9,English,blood,3,
9,English,fire,6,
9,English,carrot,9,
9,English,tomato,3,
9,English,focal red,F1,
9,English,focal blue,G15,
9,English,focal green,E8,
9,English,focal yellow,B6,
9,English,focal grey,A13,
9,English,focal purple / violet,F16,
9,English,focal orange,E2,
9,English,focal brown,H4,
9,English,focal pink,D19,
10,English,cloud,4,
10,English,dirt,10,
10,English,grass / leaf,5,
10,English,hair,6,
10,English,teeth,6,
10,English,rice,2,
10,English,unripe bananas,5,
10,English,ripe banana,6,
10,English,sky,4,
10,English,corn,6,
10,English,yuca (inside),?,
10,English,yuca (outside),?,
10,English,blood,8,
10,English,fire,9,
10,English,carrot,9,
10,English,tomato,3,
10,English,focal red,F1,
10,English,focal blue,E14,
10,English,focal green,E8,
10,English,focal yellow,B5,
10,English,focal grey,A13,
10,English,focal purple / violet,G17,
10,English,focal orange,E2,
10,English,focal brown,H3,
10,English,focal pink,C20,
11,English,cloud,2,
11,English,dirt,10,
11,English,grass / leaf,5,
11,English,hair,10,
11,English,teeth,2,
11,English,rice,"2,10",
11,English,unripe bananas,5,
11,English,ripe banana,6,
11,English,sky,4,
11,English,corn,6,
11,English,yuca (inside),,
11,English,yuca (outside),,
11,English,blood,3,
11,English,fire,9,
11,English,carrot,9,
11,English,tomato,3,
11,English,focal red,F1,
11,English,focal blue,G14,
11,English,focal green,E8,
11,English,focal yellow,B5,
11,English,focal grey,A10,
11,English,focal purple / violet,G17,
11,English,focal orange,C3,
11,English,focal brown,H5,
11,English,focal pink,C19,
12,English,cloud,2,
12,English,dirt,10,
12,English,grass / leaf,5,
12,English,hair,DEPENDS,
12,English,teeth,"6,2",
12,English,rice,2,
12,English,unripe bananas,5,
12,English,ripe banana,6,
12,English,sky,"4,1",
12,English,corn,6,
12,English,yuca (inside),,
12,English,yuca (outside),,
12,English,blood,3,
12,English,fire,6,
12,English,carrot,9,
12,English,tomato,3,
12,English,focal red,F1,
12,English,focal blue,G14,
12,English,focal green,F9,
12,English,focal yellow,B6,
12,English,focal grey,A14,
