subject,order,color_object label,response,Rashida Time,Isabel Time,Native_speaker,
2001,1,banana,banana,4.23,3.26,Y,
2001,2,tomato,apple,1.84,2.18,Y,
2001,3,cup,cup,1.86,2.59,Y,
2001,4,comb,comb,6.86,5.95,Y,
2001,5,leaf,leaf,2.05,3.8,Y,
2001,6,fan,fan,12.53,11.85,Y,
2001,7,stick,stick,15.78,15.86,Y,
2001,8,rock,rock,4.08,3.27,Y,
2001,1,F17,8,1.66,1.99,Y,
2001,2,G14,4,1.79,2.62,Y,
2001,3,F13,turquoise,4.27,3.84,Y,
2001,4,A16,2,2.05,1.69,Y,
2001,5,H17,dark 8,5.7,5.95,Y,
2001,6,F1,3,2.03,2.48,Y,
2001,7,H9,5,2.54,2.9,Y,
2001,8,H7,1,7.8,8.31,Y,
2001,9,F9,shamrock,3.65,3.52,Y,
2001,10,F5,light 10,6.73,7.15,Y,
2001,11,D5,mustard,2.7,3.26,Y,
2001,12,G4,10,3.1,2.15,Y,
2001,13,B4,6,2.3,2.72,Y,
2001,14,B1,11,2.02,1.76,Y,
2001,15,B13,baby 4,4.13,4.07,Y,
2002,1,stick,bamboo stick,8.92,8.42,Y,
2002,2,rock,rock,1.7,1.87,Y,
2002,3,leaf,leaf,1.3,1.44,Y,
2002,4,comb,comb,1.6,1.84,Y,
2002,5,apple,apple,2.26,4.5,Y,
2002,6,cup,cup,1.6,2.52,Y,
2002,7,banana,banana,1.92,2.25,Y,
2002,8,fan,fan,2.15,2.89,Y,
2002,1,H7,1,2.6,2.55,Y,
2002,2,G4,dark tan,2.5,3.31,Y,
2002,3,F1,3,1.6,1.41,Y,
2002,4,G14,4,2.4,2.6,Y,
2002,5,F17,8,1.7,1.58,Y,
2002,6,H9,dark 5,2,2.12,Y,
2002,7,H17,dark 8,2.45,2.35,Y,
2002,8,F9,grass 5,3.4,3.45,Y,
2002,9,B13,periwinkle,3.88,4.13,Y,
2002,10,D5,mustard 6,4.85,4.93,Y,
2002,11,F5,10,1.65,1.64,Y,
2002,12,A16,2,1.35,1.24,Y,
2002,13,F13,5 4,5.46,5.22,Y,
2002,14,B1,11,2.03,1.8,Y,
2002,15,B4,6 9,3.57,4.13,Y,
2003,1,apple,apple,1.24,1.6,Y,
2003,2,leaf,leaf,0.78,0.75,Y,
2003,3,cup,cup,0.3,0.91,Y,
2003,4,stick,stick,1.82,3.2,Y,
2003,5,banana,banana,0.25,0.75,Y,
2003,6,rock,rock,0.4,0.5,Y,
2003,7,comb,comb,1.91,3,Y,
2003,8,fan,fan,0.35,1.1,Y,
2003,1,H17,4,1.83,2.05,Y,
2003,2,D5,5,1.5,1.74,Y,
2003,3,B4,9,1.22,1.02,Y,
2003,4,B1,11,1,0.96,Y,
2003,5,A16,2,2.61,3.08,Y,
2003,6,F5,1,1.43,1.87,Y,
2003,7,F13,4,1.04,1.2,Y,
2003,8,B13,4,1.34,1.75,Y,
2003,9,F9,5,0.82,0.95,Y,
2003,10,H9,1,0.78,0.92,Y,
2003,11,F17,8,0.79,1.32,Y,
2003,12,G14,4,0.78,1.26,Y,
2003,13,F1,3,0.83,0.86,Y,
2003,14,G4,1,0.87,0.96,Y,
2003,15,H7,1,1.3,1.6,Y,
2004,1,rock,rock,0.47,0.81,Y,
2004,2,apple,apple,0.35,0.53,Y,
2004,3,cup,cup,0.46,0.65,Y,
2004,4,stick,bamboo,0.9,2.21,Y,
2004,5,leaf,leaf,0.26,0.64,Y,
2004,6,comb,comb,3.04,1.22,Y,
2004,7,fan,fan,1,0.95,Y,
2004,8,banana,,0.52,0.75,Y,
2004,1,B4,6,0.65,0.62,Y,
2004,2,A16,2,0.72,0.89,Y,
2004,3,D5,6,0.87,0.79,Y,
2004,4,H17,8,0.82,1.28,Y,
2004,5,H7,5,1.12,1.61,Y,
2004,6,G4,10,0.91,0.92,Y,
2004,7,F1,3,0.74,1.1,Y,
2004,8,B1,11,0.91,0.96,Y,
2004,9,F9,5,0.96,0.91,Y,
2004,10,B13,light 4,1.25,0.97,Y,
2004,11,F13,4,1.43,1.2,Y,
2004,12,F5,10,1,1.23,Y,
2004,13,H9,5,1.22,1.31,Y,
2004,14,G14,4,1,0.88,Y,
2004,15,F17,8,0.92,0.72,Y,
2005,1,cup,cup,1.55,2.06,Y,
2005,2,comb,comb,1.91,2,Y,
2005,3,leaf,leaf,0.69,1.02,Y,
2005,4,apple,apple,0.7,1.13,Y,
2005,5,rock,rock,1.15,1.56,Y,
2005,6,stick,pipe,4.47,4.35,Y,
2005,7,banana,banana,2.43,3.4,Y,
2005,8,fan,fan,3.04,3.58,Y,
2005,1,G4,10,0.91,1.13,Y,
2005,2,F17,8,1.4,1.2,Y,
2005,3,G14,4,1.15,1.13,Y,
2005,4,H9,dark 5,1.8,1.86,Y,
2005,5,F5,5 10,2.1,1.99,Y,
2005,6,F13,light 4,1.78,1.75,Y,
2005,7,F9,5,1.2,1.39,Y,
2005,8,H7,1,1.04,1.16,Y,
2005,9,H17,8,2.25,2.46,Y,
2005,10,A16,2,1.12,1.21,Y,
2005,11,B1,11,1.85,1.82,Y,
2005,12,F1,3,1.18,0.95,Y,
2005,13,D5,gold,2.07,3.02,Y,
2005,14,B13,sky 4,1.62,1.66,Y,
2005,15,B4,6,2.64,2.49,Y,
2006,1,apple,red delicious apple,1.7,1.9,Y,
2006,2,cup,red cup,2.15,3.5,Y,
2006,3,stick,chunk of plant material,11,8.14,Y,
2006,4,leaf,dry leaf,2.36,2.75,Y,
2006,5,comb,pink comb,2.25,3.31,Y,
