subject,grid_location,color
1,A1,7
1,B1,12
1,C1,3
1,D1,3
1,E1,3
1,F1,3
1,G1,3
1,H1,3
1,A2,7
1,B2,7
1,C2,11
1,D2,3
1,E2,3
1,F2,3
1,G2,3
1,H2,10
1,A3,7
1,B3,7
1,C3,12
1,D3,6
1,E3,10
1,F3,10
1,G3,10
1,H3,10
1,A4,12
1,B4,12
1,C4,12
1,D4,7
1,E4,11
1,F4,12
1,G4,1
1,H4,1
1,A5,12
1,B5,6
1,C5,12
1,D5,12
1,E5,12
1,F5,7
1,G5,10
1,H5,1
1,A6,11
1,B6,6
1,C6,6
1,D6,11
1,E6,7
1,F6,5
1,G6,10
1,H6,1
1,A7,7
1,B7,12
1,C7,12
1,D7,5
1,E7,12
1,F7,5
1,G7,1
1,H7,1
1,A8,12
1,B8,7
1,C8,5
1,D8,11
1,E8,5
1,F8,1
1,G8,1
1,H8,1
1,A9,7
1,B9,7
1,C9,5
1,D9,12
1,E9,5
1,F9,5
1,G9,5
1,H9,5
1,A10,7
1,B10,7
1,C10,5
1,D10,5
1,E10,5
1,F10,5
1,G10,5
1,H10,5
1,A11,7
1,B11,7
1,C11,7
1,D11,12
1,E11,12
1,F11,5
1,G11,5
1,H11,1
1,A12,7
1,B12,7
1,C12,5
1,D12,12
1,E12,5
1,F12,5
1,G12,1
1,H12,1
1,A13,2
1,B13,7
1,C13,5
1,D13,5
1,E13,5
1,F13,5
1,G13,5
1,H13,1
1,A14,2
1,B14,5
1,C14,7
1,D14,1
1,E14,5
1,F14,5
1,G14,1
1,H14,1
1,A15,12
1,B15,7
1,C15,7
1,D15,7
1,E15,7
1,F15,7
1,G15,5
1,H15,1
1,A16,2
1,B16,12
1,C16,7
1,D16,7
1,E16,12
1,F16,5
1,G16,1
1,H16,1
1,A17,1
1,B17,7
1,C17,7
1,D17,8
1,E17,11
1,F17,10
1,G17,12
1,H17,10
1,A18,1
1,B18,7
1,C18,7
1,D18,5
1,E18,7
1,F18,10
1,G18,10
1,H18,1
1,A19,5
1,B19,7
1,C19,5
1,D19,3
1,E19,3
1,F19,3
1,G19,10
1,H19,10
1,A20,7
1,B20,11
1,C20,10
1,D20,3
1,E20,3
1,F20,3
1,G20,3
1,H20,10
2,A1,2
2,B1,3
2,C1,3
2,D1,3
2,E1,3
2,F1,3
2,G1,3
2,H1,3
2,A2,7
2,B2,3
2,C2,3
2,D2,3
2,E2,3
2,F2,3
2,G2,3
2,H2,8
2,A3,12
2,B3,12
2,C3,12
2,D3,12
2,E3,6
2,F3,10
2,G3,3
2,H3,10
2,A4,12
2,B4,12
2,C4,12
2,D4,6
2,E4,10
2,F4,6
2,G4,12
2,H4,10
2,A5,12
2,B5,12
2,C5,6
2,D5,6
2,E5,6
2,F5,10
2,G5,10
2,H5,10
2,A6,6
2,B6,6
2,C6,5
2,D6,12
2,E6,12
2,F6,12
2,G6,7
2,H6,1
2,A7,12
2,B7,5
2,C7,5
2,D7,5
