subject,order,grid_location,color
20,1,F17,8
20,2,A6,6
20,3,F13,4
20,4,E14,4
20,5,B17,8
20,6,G4,10
20,7,E8,5
20,8,H13,1
20,9,C10,5
20,10,H3,10
20,11,F5,10
20,12,D5,11
20,13,C12,5
20,14,B15,1
20,15,F19,3
20,16,H19,10
20,17,E18,3
20,18,C8,5
20,19,C18,3
20,20,B11,5
20,21,G14,5
20,22,H9,1
20,23,F3,10
20,24,E20,3
20,25,F15,5
20,26,C2,11
20,27,D3,11
20,28,E12,5
20,29,H7,1
20,30,B19,3
20,31,A10,14
20,32,B3,11
20,33,C6,6
20,34,F1,3
20,35,G6,1
20,36,A14,2
20,37,G20,3
20,38,A8,5
20,39,C20,3
20,40,G12,5
20,41,C16,5
20,42,D7,5
20,43,H17,1
20,44,F7,5
20,45,H1,3
20,46,C3,11
20,47,H15,12
20,48,F9,5
20,49,G16,1
20,50,E6,11
20,51,B7,5
20,52,G10,5
20,53,G2,3
20,54,A16,2
20,55,D11,5
20,56,D9,5
20,57,B5,6
20,58,B13,5
20,59,D17,8
20,60,H11,1
20,61,A20,2
20,62,F11,5
20,63,G18,8
20,64,C14,12
20,65,B2,3
20,66,C4,11
20,67,A18,2
20,68,G8,5
20,69,D19,3
20,70,E4,11
20,71,D1,3
20,72,A4,2
20,73,E2,3
20,74,B1,3
20,75,E16,8
20,76,H5,1
20,77,A12,5
20,78,D15,12
20,79,B9,5
20,80,D13,5
20,81,A2,1
21,1,A18,2
21,2,E8,5
21,3,G6,10
21,4,H3,4
21,5,B15,4
21,6,G16,4
21,7,F13,4
21,8,B5,12
21,9,F15,6
21,10,C20,3
21,11,F1,3
21,12,C8,5
21,13,D7,10
21,14,C3,13
21,15,F3,10
21,16,A16,2
21,17,B19,6
21,18,A12,2
21,19,D15,4
21,20,C16,6
21,21,H5,1
21,22,E16,8
21,23,A2,2
21,24,E2,3
21,25,A4,12
21,26,D1,3
21,27,E4,10
21,28,C14,4
21,29,G8,5
21,30,D19,8
21,31,B9,5
21,32,G18,8
21,33,B2,12
21,34,C4,13
21,35,D13,4
21,36,F11,5
21,37,H11,5
21,38,D17,8
21,39,B1,6
21,40,A6,12
21,41,E14,4
21,42,A20,2
21,43,F17,8
21,44,C10,5
21,45,C12,4
21,46,G4,10
21,47,D5,13
21,48,F5,10
21,49,B17,4
21,50,E18,8
21,51,B3,12
21,52,E20,3
21,53,H9,5
21,54,E12,4
21,55,D3,13
21,56,F19,8
21,57,C18,8
21,58,H19,8
21,59,B11,4
21,60,C6,12
21,61,A10,2
21,62,C2,11
21,63,H15,4
21,64,H1,8
21,65,H7,1
21,66,G12,4
21,67,H17,6
21,68,A8,5
21,69,H13,4
21,70,B7,12
21,71,G20,3
21,72,F9,5
21,73,G2,3
21,74,D9,5
21,75,A14,2
21,76,G14,4
21,77,G10,5
21,78,D11,5
21,79,E6,12
21,80,F7,12
21,81,B13,4
22,1,B5,5
22,2,F1,3
22,3,E8,5
22,4,F15,8
22,5,H3,10
22,6,G16,8
22,7,G6,1
22,8,F13,5
22,9,B19,3
22,10,C20,3
22,11,C8,5
22,12,A16,2
22,13,C3,3
22,14,D7,8
22,15,B15,5
22,16,F3,1
22,17,F17,3
22,18,C12,5
22,19,D17,10
22,20,H11,5
22,21,G14,5
22,22,D5,3
22,23,G18,5
22,24,C10,3
22,25,A6,2
22,26,F5,1
22,27,C4,3
22,28,G4,1
22,29,F11,5
22,30,B2,3
22,31,E14,5
22,32,D11,5
22,33,A20,2
22,34,E4,1
22,35,E2,3
22,36,C14,5
22,37,A4,2
22,38,C16,5
22,39,D1,3
22,40,D19,3
22,41,A12,5
22,42,G8,5
22,43,H5,1
22,44,D9,5
22,45,F7,5
22,46,B9,2
22,47,E6,1
22,48,D15,5
22,49,A14,2
22,50,F9,5
22,51,G10,5
22,52,A2,3
22,53,G20,3
22,54,E16,5
22,55,B13,5
22,56,G12,5
22,57,H1,3
22,58,H7,1
22,59,A10,3
22,60,B7,5
22,61,A8,2
22,62,H17,5
22,63,C2,3
22,64,H13,8
22,65,G2,3
22,66,H15,5
22,67,C6,3
22,68,F19,3
22,69,E12,8
22,70,B3,3
22,71,D3,3
22,72,H19,8
22,73,A18,2
22,74,H9,5
22,75,C18,3
22,76,E18,5
22,77,E20,3
22,78,B11,5
22,79,B1,3
22,80,D13,8
22,81,B17,1
23,1,G6,4
23,2,G16,1
23,3,C3,3
23,4,F15,4
23,5,A16,2
23,6,F3,4
23,7,F13,4
23,8,C8,4
23,9,B5,4
23,10,B19,4
23,11,E8,4
23,12,D7,4
23,13,B15,2
23,14,F1,3
23,15,C20,4
23,16,H3,1
23,17,G20,3
23,18,B7,4
23,19,G12,4
23,20,F9,4
23,21,E6,4
23,22,F19,3
23,23,F7,4
23,24,H1,3
23,25,H9,4
23,26,E18,3
23,27,H5,1
23,28,H19,3
23,29,C10,4
23,30,F11,4
23,31,G14,4
23,32,E16,4
23,33,D11,4
23,34,D5,4
23,35,D19,3
23,36,G2,3
23,37,H15,1
23,38,C6,4
23,39,C16,2
23,40,A8,2
23,41,E12,4
23,42,A18,2
23,43,C18,4
23,44,A10,2
23,45,E4,4
23,46,F17,4
23,47,C4,3
23,48,A2,2
23,49,D3,3
23,50,E14,4
23,51,D15,4
23,52,H11,4
23,53,E20,3
23,54,A6,2
23,55,B9,4
23,56,C2,3
23,57,G8,4
23,58,D1,3
23,59,H13,4
23,60,G10,4
23,61,H7,4
23,62,C14,2
23,63,C12,2
23,64,D9,4
23,65,B17,2
23,66,B11,2
23,67,H17,4
23,68,A12,2
23,69,A4,2
23,70,B3,4
23,71,E2,3
23,72,B13,4
23,73,B1,4
23,74,A14,2
23,75,G18,3
23,76,D17,4
23,77,G4,4
23,78,B2,2
23,79,F5,4
23,80,A20,2
23,81,D13,4
24,1,F1,3
24,2,E8,5
24,3,F3,10
24,4,H3,10
24,5,A16,2
24,6,C3,3
24,7,B19,7
24,8,D7,5
24,9,C8,5
24,10,B5,4
24,11,F13,4
24,12,G6,10
24,13,F15,4
24,14,C20,3
24,15,B15,2
24,16,G16,4
24,17,D9,5
24,18,D1,3
24,19,G8,4
24,20,H13,1
24,21,B3,2
24,22,B17,7
