Row,Column,R,G,B
B,1,232,219,236
B,2,232,219,235
B,3,233,219,233
B,4,233,219,231
B,5,234,219,229
B,6,234,220,226
B,7,234,220,223
B,8,232,221,221
B,9,237,221,199
B,10,236,223,170
B,11,232,224,168
B,12,228,225,167
B,13,224,227,169
B,14,222,227,198
B,15,220,225,221
B,16,216,226,224
B,17,213,226,228
B,18,212,226,231
B,19,211,226,233
B,20,211,226,235
B,21,210,226,236
B,22,211,226,238
B,23,211,226,240
B,24,212,226,241
B,25,213,225,242
B,26,215,224,243
B,27,217,224,244
B,28,219,223,244
B,29,221,223,244
B,30,222,223,244
B,31,224,222,244
B,32,225,221,243
B,33,226,221,243
B,34,227,221,243
B,35,228,220,241
B,36,229,220,241
B,37,230,220,239
B,38,230,219,238
B,39,231,219,238
B,40,231,219,236
C,1,236,191,211
C,2,237,191,206
C,3,238,191,199
C,4,238,192,190
C,5,236,192,182
C,6,233,195,175
C,7,238,194,139
C,8,239,195,88
C,9,233,198,30
C,10,225,204,23
C,11,219,206,11
C,12,213,209,0
C,13,204,212,0
C,14,194,214,82
C,15,177,217,109
C,16,169,217,162
C,17,152,219,181
C,18,162,216,203
C,19,158,216,209
C,20,155,216,214
C,21,153,216,217
C,22,176,213,221
C,23,176,212,224
C,24,176,212,228
C,25,177,211,230
C,26,181,210,234
C,27,185,209,235
C,28,189,207,237
C,29,184,207,246
C,30,191,205,247
C,31,204,203,237
C,32,208,201,237
C,33,211,200,236
C,34,213,200,234
C,35,223,194,237
C,36,226,193,233
C,37,229,192,228
C,38,231,191,222
C,39,233,191,219
C,40,234,191,215
D,1,227,159,183
D,2,227,159,176
D,3,236,152,154
D,4,234,155,135
D,5,231,159,119
D,6,237,157,54
D,7,228,165,37
D,8,222,172,31
D,9,214,179,27
D,10,207,184,18
D,11,199,186,9
D,12,193,190,0
D,13,185,193,0
D,14,170,195,0
D,15,150,198,84
D,16,128,201,113
D,17,100,202,144
D,18,112,200,174
D,19,107,201,182
D,20,101,200,189
D,21,95,200,196
D,22,90,200,206
D,23,124,196,210
D,24,125,195,215
D,25,127,195,219
D,26,134,193,223
D,27,141,192,226
D,28,131,192,237
D,29,148,188,238
D,30,161,186,240
D,31,182,183,229
D,32,188,179,228
D,33,194,176,226
D,34,198,174,224
D,35,210,167,225
D,36,215,164,221
D,37,226,155,218
D,38,229,153,209
D,39,224,160,200
D,40,226,160,190
E,1,224,111,148
E,2,225,111,133
E,3,225,113,114
E,4,228,109,75
E,5,225,117,43
E,6,214,133,50
E,7,208,141,31
E,8,201,147,27
E,9,193,152,23
E,10,186,157,14
E,11,179,162,6
E,12,170,165,0
E,13,159,169,0
E,14,144,173,0
E,15,111,179,0
E,16,78,183,63
E,17,69,182,117
E,18,66,181,142
E,19,67,181,155
E,20,67,180,166
E,21,68,179,174
E,22,69,177,184
E,23,70,176,191
E,24,70,175,199
E,25,71,174,207
E,26,72,173,215
E,27,86,171,218
E,28,75,169,228
E,29,102,165,231
E,30,122,161,231
E,31,154,154,221
E,32,165,150,219
E,33,177,147,218
E,34,184,144,214
E,35,196,133,215
E,36,202,129,208
E,37,207,127,198
E,38,211,124,186
E,39,222,111,177
E,40,223,110,163
F,1,213,64,118
F,2,213,66,98
F,3,213,70,78
F,4,212,75,41
F,5,200,95,33
F,6,191,106,29
F,7,184,114,27
F,8,176,119,22
F,9,166,126,30
F,10,159,130,10
F,11,151,135,4
F,12,143,137,0
F,13,133,140,0
F,14,118,145,30
F,15,90,150,0
F,16,53,155,38
F,17,55,153,98
F,18,56,152,117
F,19,56,150,128
F,20,57,150,137
F,21,58,149,145
F,22,58,148,157
F,23,59,148,164
F,24,60,147,173
F,25,61,146,180
F,26,61,145,187
F,27,62,143,195
F,28,64,141,205
F,29,65,138,216
F,30,77,134,223
F,31,121,125,213
F,32,141,118,211
F,33,155,113,207
F,34,164,108,202
F,35,175,104,193
F,36,188,89,192
F,37,194,85,181
F,38,200,81,164
F,39,210,66,151
F,40,211,65,134
G,1,192,0,92
G,2,192,20,75
G,3,190,33,57
G,4,185,54,32
G,5,168,75,38
G,6,156,85,48
G,7,150,89,31
G,8,139,96,50
G,9,133,100,44
G,10,127,102,34
G,11,120,105,30
G,12,113,108,29
G,13,105,110,34
G,14,95,113,47
G,15,74,119,26
G,16,58,121,54
G,17,44,121,82
G,18,45,120,94
G,19,46,120,103
G,20,46,118,110
G,21,47,118,117
G,22,47,117,125
G,23,48,116,133
G,24,49,116,139
G,25,49,115,146
G,26,50,113,156
G,27,51,112,163
G,28,52,111,172
G,29,54,108,184
G,30,65,104,191
G,31,91,94,203
G,32,114,88,187
G,33,129,84,182
G,34,138,80,177
