subject,Language,Presentation_type,object to be labeled,label,color,other_adj,same_noun,presentation_order
1,English,1 at a time,green cup,glass,N,N,Y,1
1,English,1 at a time,red cup,glass,N,N,Y,2
1,English,1 at a time,red pepper,pepper,N,N,Y,1
1,English,1 at a time,green pepper,pepper,N,N,Y,2
1,English,1 at a time,pink comb,comb,Y,N,Y,1
1,English,1 at a time,yellow comb,comb,N,N,Y,2
1,English,1 at a time,red apple,apple,N,N,Y,1
1,English,1 at a time,green apple,apple,N,N,Y,2
1,English,1 at a time,blue basket,basket,N,N,Y,1
1,English,1 at a time,red basket,basket,N,N,Y,2
1,English,1 at a time,yellow banana,banana,N,N,Y,1
1,English,1 at a time,green banana,banana,N,N,Y,2
1,English,1 at a time,yellow rope,rope,N,N,Y,1
1,English,1 at a time,red rope,rope,N,N,Y,2
1,English,1 at a time,yellow tomato,tomato,N,N,Y,1
1,English,1 at a time,red tomato,tomato,N,N,Y,2
3,English,1 at a time,green cup,cup,N,N,Y,1
3,English,1 at a time,red cup,red cup,Y,N,Y,2
3,English,1 at a time,red pepper,red pepper,Y,N,Y,1
3,English,1 at a time,green pepper,green pepper,Y,N,Y,2
3,English,1 at a time,pink comb,pink comb,Y,N,Y,1
3,English,1 at a time,yellow comb,yellow comb,Y,N,Y,2
3,English,1 at a time,red apple,red apple,Y,N,Y,1
3,English,1 at a time,green apple,green apple,Y,N,Y,2
3,English,1 at a time,blue basket,blue basket,Y,N,Y,1
3,English,1 at a time,red basket,red basket,Y,N,Y,2
3,English,1 at a time,yellow banana,ripe banana,N,Y,Y,1
3,English,1 at a time,green banana,nonripe banana,N,Y,Y,2
3,English,1 at a time,yellow rope,yellow cord,Y,N,Y,1
3,English,1 at a time,red rope,red cord,Y,N,Y,2
3,English,1 at a time,yellow tomato,piece of fruit,N,N,N,1
3,English,1 at a time,red tomato,red tomato,Y,N,N,2
5,English,1 at a time,green cup,CUP,N,N,Y,1
5,English,1 at a time,red cup,CUP,N,N,Y,2
5,English,1 at a time,red pepper,RED PEPPER,Y,N,Y,1
5,English,1 at a time,green pepper,GREEN PEPPER,Y,N,Y,2
5,English,1 at a time,pink comb,COMB,N,N,Y,1
5,English,1 at a time,yellow comb,COMB,N,N,Y,2
5,English,1 at a time,red apple,APPLE,N,N,Y,1
5,English,1 at a time,green apple,GREEN APPLE,Y,N,Y,2
5,English,1 at a time,blue basket,MINI BASKET,N,Y,Y,1
5,English,1 at a time,red basket,MINI BASKET,N,Y,Y,2
5,English,1 at a time,yellow banana,RIPE BANANA,N,Y,Y,1
5,English,1 at a time,green banana,NOT RIPE BANANA ,N,Y,Y,2
