subject,Language,thing,color,
1,Spanish,cloud,2,
1,Spanish,dirt,10,
1,Spanish,grass / leaf,5,
1,Spanish,hair,1,
1,Spanish,teeth,2,
1,Spanish,rice,2,
1,Spanish,unripe bananas,5,
1,Spanish,ripe banana,6,
1,Spanish,sky,4,
1,Spanish,corn,2,
1,Spanish,yuca (inside),6,
1,Spanish,yuca (outside),10,
1,Spanish,blood,3,
1,Spanish,fire,6,
1,Spanish,carrot,9,
1,Spanish,tomato,3,
1,Spanish,focal red,F1,
1,Spanish,focal blue,H15,
1,Spanish,focal green,H9,
1,Spanish,focal yellow,B5,
1,Spanish,focal grey,H6,
1,Spanish,focal purple / violet,H17,
1,Spanish,focal orange,E2,
1,Spanish,focal brown,H3,
1,Spanish,focal pink,D5,
2,Spanish,cloud,2,
2,Spanish,dirt,10,
2,Spanish,grass / leaf,5,
2,Spanish,hair,1,
2,Spanish,teeth,2,
2,Spanish,rice,2,
2,Spanish,unripe bananas,5,
2,Spanish,ripe banana,6,
2,Spanish,sky,4,
2,Spanish,corn,2,
2,Spanish,yuca (inside),2,
2,Spanish,yuca (outside),10,
2,Spanish,blood,3,
2,Spanish,fire,6,
2,Spanish,carrot,9,
2,Spanish,tomato,3,
2,Spanish,focal red,F1,
2,Spanish,focal blue,E15,
2,Spanish,focal green,G9,
2,Spanish,focal yellow,C4,
2,Spanish,focal grey,F17,
2,Spanish,focal purple / violet,G16,
2,Spanish,focal orange,D3,
2,Spanish,focal brown,H3,
2,Spanish,focal pink,E20,
3,Spanish,cloud,4,
3,Spanish,dirt,10,
3,Spanish,grass / leaf,5,
3,Spanish,hair,1,
3,Spanish,teeth,2,
3,Spanish,rice,2,
3,Spanish,unripe bananas,5,
3,Spanish,ripe banana,6,
3,Spanish,sky,4,
3,Spanish,corn,2,
3,Spanish,yuca (inside),2,
3,Spanish,yuca (outside),10,
3,Spanish,blood,3,
3,Spanish,fire,3,
3,Spanish,carrot,9,
3,Spanish,tomato,3,
3,Spanish,focal red,F1,
3,Spanish,focal blue,F15,
3,Spanish,focal green,F9,
3,Spanish,focal yellow,B6,
3,Spanish,focal grey,,
3,Spanish,focal purple / violet,E16,
3,Spanish,focal orange,E2,
3,Spanish,focal brown,F4,
3,Spanish,focal pink,C20,
4,Spanish,cloud,2,
4,Spanish,dirt,10,
4,Spanish,grass / leaf,5,
4,Spanish,hair,10,
4,Spanish,teeth,2,
4,Spanish,rice,2,
4,Spanish,unripe bananas,5,
4,Spanish,ripe banana,6,
4,Spanish,sky,12,
4,Spanish,corn,2,
4,Spanish,yuca (inside),2,
4,Spanish,yuca (outside),10,
4,Spanish,blood,3,
4,Spanish,fire,3,
4,Spanish,carrot,9,
4,Spanish,tomato,3,
4,Spanish,focal red,F1,
4,Spanish,focal blue,G15,
4,Spanish,focal green,G9,
4,Spanish,focal yellow,B5,
4,Spanish,focal grey,,
4,Spanish,focal purple / violet,G17,
4,Spanish,focal orange,E3,
4,Spanish,focal brown,H4,
4,Spanish,focal pink,F20,
4,Spanish,focal celeste,E14,
5,Spanish,cloud,2,
5,Spanish,dirt,7,
5,Spanish,grass / leaf,5,
5,Spanish,hair,1,
5,Spanish,teeth,2,
5,Spanish,rice,10,
