subject,Language,Year,cloud,dirt,grass / leaf,hair,teeth,rice,unripe bananas,ripe banana,sky,corn,yuca (inside),yuca (outside),blood,fire,carrot,tomato
14,Tsimane,2014,2,1,5,1,,12,5,,4,,2,,,,,
15,Tsimane,2014,2,6,5,1,,19,5,,5,,2,6,,,,
16,Tsimane,2014,2,10,5,1,,9,5,12,4,12,2,9,,,,
17,Tsimane,2014,2,10,5,1,,12,5,12,12,12,2,10,,,,
18,Tsimane,2014,2,3,5,1,,12,5,12,4,12,2,3,,,,
20,Tsimane,2014,2,10,5,1,2,6,5,11,5,6,2,10,3,12,6,3
21,Tsimane,2014,2,9,5,1,2,9,5,12,4,11,2,3,3,11,11,3
22,Tsimane,2014,2,1,5,1,2,2,5,3,5,3,2,1,3,3,3,3
23,Tsimane,2014,4,4,4,1,2,2,4,4,4,2,1,,3,4,4,3
24,Tsimane,2014,2,3,5,1,2,2,5,6,4,2,2,3,3,3,6,3
25,Tsimane,2014,2,9,5,1,2,9,5,12,4,3,2,9,3,12,12,3
26,Tsimane,2014,2,3,5,1,2,12,5,12,4,12,2,12,3,6,12,3
27,Tsimane,2014,2,10,5,1,2,12,5,12,5,12,2,10,3,12,12,3
28,Tsimane,2014,2,3,5,1,5,12,5,12,5,12,2,10,3,12,12,3
29,Tsimane,2014,2,3,5,1,2,9,5,6,4,2,2,9,3,3,3,3
30,Tsimane,2014,2,15,5,1,2,9,5,6,5,3,2,3,3,3,6,3
31,Tsimane,2014,2,3,4,1,2,3,5,16,4,3,2,3,3,3,16,3
32,Tsimane,2014,2,15,5,1,2,9,5,6,4,2,2,15,3,3,6,3
33,Tsimane,2014,2,1,4,1,2,9,4,6,4,3,2,3,3,3,4,3
34,Tsimane,2014,2,1,5,1,2,1,5,4,4,3,2,9,3,3,6,3
35,Tsimane,2014,2,3,4,1,2,3,5,4,4,3,2,3,3,3,6,3
37,Tsimane,2014,2,1,5,1,2,2,5,6,5,3,2,3,3,3,4,3
38,Tsimane,2014,2,10,5,1,2,7,5,12,5,2,2,1,3,12,12,3
41,Tsimane,2014,2,3,4,1,2,3,4,12,4,2,2,11,3,3,4,3
42,Tsimane,2014,2,1,4,1,2,12,4,12,4,12,2,1,3,3,12,3
43,Tsimane,2014,2,9,4,1,2,2,4,12,4,2,2,3,3,3,3,3
44,Tsimane,2014,2,12,4,1,2,2,4,12,21,3,2,1,3,3,3,3
45,Tsimane,2014,2,9,5,1,2,2,4,12,4,12,2,15,3,12,13,3
46,Tsimane,2014,2,9,5,1,2,12,5,12,4,2,2,9,3,12,12,3
48,Tsimane,2014,2,1,12,1,2,2,4,12,2,2,2,3,3,3,3,3
49,Tsimane,2014,2,1,5,1,2,9,4,12,4,2,2,1,3,12,5,3
50,Tsimane,2014,2,10,4,1,2,2,4,2,4,2,2,23,3,24,13,3
51,Tsimane,2014,2,10,5,1,2,10,5,4,4,12,2,10,3,12,12,3
52,Tsimane,2014,2,1,5,1,2,2,4,12,4,12,2,4,3,12,28,3
53,Tsimane,2014,2,25,4,1,2,2,5,12,4,2,2,3,3,3,5,3
54,Tsimane,2014,2,2,5,1,2,2,5,6,4,3,2,1,3,3,3,3
55,Tsimane,2014,,2,1,1,2,2,25,12,2,12,2,3,3,3,25,3
56,Tsimane,2014,2,9,5,1,2,2,4,12,4,12,2,1,3,12,12,3
57,Tsimane,2014,,4,5,1,2,2,5,5,2,3,2,3,3,3,25,3
58,Tsimane,2014,2,4,4,1,2,2,4,4,4,2,2,1,3,3,3,3
59,Tsimane,2014,2,9,4,1,2,2,4,12,4,2,2,9,3,3,11,3
60,Tsimane,2014,2,3,5,1,2,2,5,12,5,2,2,3,3,3,12,3
61,Tsimane,2014,2,9,5,1,2,2,5,29,5,3,2,3,3,3,3,3
62,Tsimane,2014,2,2,5,1,2,2,5,6,1,2,2,15,3,6,3,12
63,Tsimane,2014,2,2,5,1,2,2,5,29,5,29,2,3,3,3,,3
64,Tsimane,2014,7,10,5,1,2,2,5,29,4,2,2,10,3,3,29,3
65,Tsimane,2014,2,10,5,1,2,2,5,29,5,2,2,10,3,3,2,3
66,Tsimane,2014,2,1,4,1,2,2,4,29,4,2,2,1,3,3,13,3
1501,Tsimane,2015,2,1,4,1,2,2,4,12,4,2,2,1,3,3,3,3
1502,Tsimane,2015,2,10,5,1,2,9,12,1,5,2,2,9,3,1,4,4
1503,Tsimane,2015,2,10,4,1,2,2,4,6,4,2,2,10,3,6,6,3
1504,Tsimane,2015,2,9,5,1,2,2,4,3,4,2,2,10,3,3,3,3
1505,Tsimane,2015,2,1,4,1,2,2,4,12,2,9,2,1,3,12,3,3
1506,Tsimane,2015,2,9,4,1,2,2,4,12,4,3,2,9,3,3,12,3
1507,Tsimane,2015,2,10,4,1,2,3,5,12,5,3,2,3,3,3,3,3
1508,Tsimane,2015,2,10,4,1,2,2,4,12,4,12,2,9,3,12,12,3
1509,Tsimane,2015,2,9,4,1,2,2,4,12,8,9,2,9,3,12,12,3
1510,Tsimane,2015,,,,,,,,,,,,,,,,
1511,Tsimane,2015,2,10,4,1,2,2,4,12,4,2,2,3,3,12,12,3
1512,Tsimane,2015,1,9,5,1,2,2,5,12,2,2,2,3,3,12,3,3
1513,Tsimane,2015,2,9,5,1,2,9,5,12,5,2,9,1,3,12,3,3
1514,Tsimane,2015,2,12,5,1,2,2,5,12,4,12,2,10,3,12,12,3
1515,Tsimane,2015,2,10,5,1,2,12,5,12,4,2,2,8,3,12,12,3
1516,Tsimane,2015,2,10,5,1,2,2,5,12,4,2,2,10,3,3,3,3
1517,Tsimane,2015,,,,,,,,,,,,,,,,
1518,Tsimane,2015,2,10,5,1,2,2,5,3,4,6,2,3,3,3,6,3
1519,Tsimane,2015,7,3,5,1,2,2,5,12,5,9,2,2,3,3,3,3
1520,Tsimane,2015,2,12,4,1,2,2,5,12,4,2,2,7,3,3,4,3
