subject,order,color_object label,response,Isabel Time,Rashida Time
1801,5,banana,pe're,1.80,1.61
1801,4,tomato,tomati,2.85,2.21
1801,2,cup,vaso,2.13,2.28
1801,7,comb,peine,1.44,1.14
1801,8,leaf,paya,2.12,1.56
1801,1,fan,fijfity,2.60,2.78
1801,3,stick,vonedye',4.44,4.33
1801,6,rock,mij,1.52,1.65
1801,1,B4,pacnas,5.31,5.21
1801,2,H7,1,1.81,1.83
1801,3,F1,3,1.43,1.36
1801,4,H17,10,5.79,6
1801,5,A16,2,1.74,2
1801,6,B1,3,5.50,5.25
1801,7,D5,pacnas,11.67,11.74
1801,8,F17,8,4.75,4.54
1801,9,F13,4,3.27,3.11
1801,10,F5,1,3.98,3.91
1801,11,B13,4,2.59,2.78
1801,12,F9,4,2.63,2.2
1801,13,H9,4,5.60,6.64
1801,14,G4,1,3.82,3.5
1801,15,G14,4,1.56,1.58
1802,6,banana,pe're,1.57,1.43
1802,7,tomato,tomati,0.97,0.98
1802,4,cup,chequis,2.06,1.7
1802,8,comb,petsi,1.31,1.08
1802,3,leaf,shan,1.45,1.03
1802,2,fan,fijfity,1.04,0.56
1802,5,stick,shuru',1.61,1.9
1802,1,rock,mij,2.52,2
1802,1,H9,vishes,3.63,3.74
1802,2,F13,4,1.48,1.43
1802,3,H7,9,4.04,3.73
1802,4,F5,coriodjesei,4.50,4.89
1802,5,B13,4,4.32,3.52
1802,6,F1,3,1.50,1.58
1802,7,H17,8,2.24,2.03
1802,8,A16,2,1.58,1.3
1802,9,F9,4,2.89,2.82
1802,10,B1,3,4.64,4.86
1802,11,D5,pashes,7.04,7.01
1802,12,F17,3,10.96,10.78
1802,13,G4,pashes,3.69,3.24
1802,14,G14,4,1.69,1.11
1802,15,B4,coriodjesei,2.38,3
1803,1,banana,pe're,1.93,1.95
1803,7,tomato,tomati,1.58,1.31
1803,6,cup,vaso,1.39,1.3
1803,8,comb,petsi,1.55,1.23
1803,3,leaf,shan,3.07,3.7
1803,2,fan,fijfity,1.26,1.14
1803,4,stick,shuru',2.16,1.8
1803,5,rock,mij,1.60,1.18
1803,1,B13,5,9.31,9.95
1803,2,F5,10,2.45,3.6
1803,3,F17,4,9.46,9.04
1803,4,F1,3,1.48,1.36
1803,5,H17,8,2.72,2.78
1803,6,B1,3,4.80,4.51
1803,7,F9,5,5.04,4.68
1803,8,H9,5,2.94,1.98
1803,9,H7,romadjesei,3.11,3.75
1803,10,A16,2,1.96,1.6
1803,11,G4,10,2.21,2.21
1803,12,B4,4,14.20,16.46
1803,13,D5,ifojesei,10.37,10.78
1803,14,F13,4,9.58,9.55
1803,15,G14,4,6.64,0.82
1804,1,banana,pe're,1.85,1.7
1804,3,tomato,tomati,1.31,0.76
1804,7,cup,vaso,1.17,0.98
1804,8,comb,petsi,2.10,1.76
1804,5,leaf,shan,1.41,0.95
1804,2,fan,fijfity,1.08,0.95
1804,6,stick,shuru',1.53,1.05
1804,4,rock,mij,2.42,1.28
1804,1,D5,12,1.28,1.3
1804,2,F13,5,1.37,1.18
1804,3,G14,5,7.53,13.8
1804,4,B13,12,5.04,4.9
1804,5,F5,10,1.39,1.1
1804,6,B1,3,3.02,2.93
1804,7,F17,8,1.50,1.3
1804,8,F9,5,2.54,2.75
1804,9,H9,5,5.89,6.71
1804,10,H7,1,1.15,1.05
1804,11,G4,10,3.75,3.43
1804,12,B4,12,1.66,1.34
1804,13,A16,2,1.50,1.08
1804,14,F1,3,1.50,0.91
1804,15,H17,8,2.15,1.74
1805,1,banana,pe're,1.72,1.3
1805,6,tomato,tomati,1.23,1.15
1805,2,cup,tasa,2.77,2.35
1805,7,comb,petsi,1.88,1.03
1805,5,leaf,shan,1.11,0.95
1805,4,fan,fijfity,1.21,0.83
1805,8,stick,shuru',1.37,1.13
1805,3,rock,mij,1.52,1.28
1805,1,F1,3,1.16,1.13
1805,2,H7,5,4.30,4.5
1805,3,H9,5,1.19,1.35
1805,4,G4,mijesei,4.05,3.6
1805,5,B4,12,1.60,1.15
1805,6,H17,8,2.24,1.8
1805,7,D5,12,3.80,3.38
1805,8,F13,4,3.03,3.06
1805,9,G14,4,3.10,2.76
1805,10,F5,hagdes,5.33,5.13
1805,11,A16,2,1.28,0.8
1805,12,B1,3,4.42,4.16
1805,13,F17,10,3.29,2.78
1805,14,F9,5,1.39,1.38
1805,15,B13,4,4.79,4.5
1806,3,banana,pe're,1.36,0.9
1806,7,tomato,tomati,2.21,1.75
1806,5,cup,taneco,2.35,1.7
1806,6,comb,petsi,1.21,0.73
1806,4,leaf,paya,1.91,1.71
1806,2,fan,fijfity,1.77,1.23
1806,8,stick,shuru',1.71,1.38
1806,1,rock,mij,2.75,2.64
1806,1,D5,12,3.02,2.81
1806,2,F9,5,2.20,1.62
1806,3,B13,4,4.13,4.2
1806,4,F13,4,1.44,1.63
1806,5,G14,4,3.30,3.11
1806,6,F1,3,2.14,2.28
1806,7,H7,1,2.41,1.86
1806,8,F5,10,3.31,2.74
1806,9,H9,5,3.38,4.13
1806,10,G4,boca,2.61,1.9
1806,11,A16,2,1.41,1.15
1806,12,B4,12,2.29,1.9
1806,13,H17,ifo,4.71,4.28
1806,14,F17,10,5.31,5.14
1806,15,B1,3,6.14,5.63
1807,6,banana,pe're,1.07,0.8
1807,1,tomato,tomati,1.76,1.1
1807,5,cup,vaso,1.28,1.08
1807,2,comb,peine,1.37,1.09
1807,8,leaf,shan,1.34,0.83
1807,4,fan,fijfity,1.44,1.38
1807,3,stick,shuru',7.10,6.08
1807,7,rock,mij,1.55,1.05
1807,1,G14,5,9.46,9.12
1807,2,B1,12,6.82,6.67
1807,3,F17,6,2.06,1.35
1807,4,G4,10,4.36,3.86
1807,5,H7,1,4.38,3.81
1807,6,F13,5,14.12,13.86
1807,7,H17,oovajesei,5.93,5.67
1807,8,B4,9,12.29,23.14
1807,9,A16,2,1.69,1.01
1807,10,H9,5,4.47,4.5
1807,11,F5,10,7.18,6.65
1807,12,F1,3,2.31,2.18
1807,13,F9,5,2.16,1.8
1807,14,D5,10,43.53,48.57
1807,15,B13,2,4.63,9.2
1808,4,banana,pe're,0.82,0.33
1808,5,tomato,tomati,0.77,0.63
1808,7,cup,vaso,1.05,0.75
1808,3,comb,petsi,0.94,0.56
1808,(next video) 8,leaf,shan,1.16,1.05
1808,2,fan,fijfity,0.88,0.63
1808,6,stick,shuru',1.18,0.74
1808,1,rock,mij,1.88,1.73
1808,1,B13,5,3.38,3.01
1808,2,G4,10,3.07,3.81
1808,3,F17,8,5.08,5.4
1808,4,F13,4,3.71,2.6
1808,5,H17,8,3.98,3.88
1808,6,B4,12,1.89,1.62
1808,7,F1,3,1.53,1.05
1808,8,F9,5,1.29,0.88
1808,9,D5,6,1.60,1.56
1808,10,A16,2,0.83,0.81
1808,11,G14,4,5.28,4.6
1808,12,H7,1,2.16,1.8
1808,13,B1,2,9.71,9.36
1808,14,H9,5,2.08,1.86
1808,15,F5,7,2.48,2.18
1809,1,banana,pe're,1.39,1.35
1809,2,tomato,tomati,1.53,1.75
1809,7,cup,vaso,1.35,1.05
1809,3,comb,peinete,1.10,1.65
1809,8,leaf,paya,1.52,1.31
1809,5,fan,fijfity,1.00,0.62
1809,4,stick,shiru',2.00,1.95
1809,6,rock,mij,1.34,1.08
1809,1,B13,4,4.67,4.73
1809,2,G4,promojesei,1.73,1.68
1809,3,D5,maraca,4.84,4.6
1809,4,F17,ifo,3.60,3.48
1809,5,A16,2,1.10,1.66
1809,6,G14,4,2.44,2.76
1809,7,F13,5,2.59,2.78
1809,8,H17,ifo,2.96,2.38
1809,9,B4,changbas,2.21,1.85
1809,10,F1,3,3.90,2.14
1809,11,F9,5,2.69,1.9
1809,12,H7,promojesei,2.89,1.93
1809,13,B1,maraca,3.70,3.11
1809,14,H9,5,1.84,2.06
1809,15,F5,promojesei,1.40,1.14
1810,2,banana,pe're,0.88,0.5
1810,4,tomato,tomati,0.94,0.51
1810,5,cup,vaso,1.50,1.22
1810,3,comb,petsi,1.07,0.58
1810,7,leaf,shan,1.15,0.8
1810,6,fan,fijfity,1.03,0.66
1810,8,stick,shuru',3.09,2.54
1810,1,rock,mij,1.15,0.86
